Laikotarpis;Rodiklis;Administracinė teritorija;Matavimo vienetai;Reikšmė
2015;Neto migracija;Vilniaus r. sav.;asmenys;-288
2016;Neto migracija;Vilniaus r. sav.;asmenys;829
2017;Neto migracija;Vilniaus r. sav.;asmenys;719
2018;Neto migracija;Vilniaus r. sav.;asmenys;2014
1990;Neto migracija;Alytaus m. sav.;asmenys;
1991;Neto migracija;Alytaus m. sav.;asmenys;
1992;Neto migracija;Alytaus m. sav.;asmenys;
1993;Neto migracija;Alytaus m. sav.;asmenys;
1994;Neto migracija;Alytaus m. sav.;asmenys;-1345
1995;Neto migracija;Alytaus m. sav.;asmenys;-1302
1996;Neto migracija;Alytaus m. sav.;asmenys;-1134
1997;Neto migracija;Alytaus m. sav.;asmenys;-1335
1998;Neto migracija;Alytaus m. sav.;asmenys;-939
1999;Neto migracija;Alytaus m. sav.;asmenys;-989
2000;Neto migracija;Alytaus m. sav.;asmenys;-852
2001;Neto migracija;Alytaus m. sav.;asmenys;-357
2002;Neto migracija;Alytaus m. sav.;asmenys;-333
2003;Neto migracija;Alytaus m. sav.;asmenys;-1079
2004;Neto migracija;Alytaus m. sav.;asmenys;-1308
2005;Neto migracija;Alytaus m. sav.;asmenys;-1267
2006;Neto migracija;Alytaus m. sav.;asmenys;-663
2007;Neto migracija;Alytaus m. sav.;asmenys;-747
2008;Neto migracija;Alytaus m. sav.;asmenys;-986
2009;Neto migracija;Alytaus m. sav.;asmenys;-1118
2010;Neto migracija;Alytaus m. sav.;asmenys;-3194
2011;Neto migracija;Alytaus m. sav.;asmenys;-1652
2012;Neto migracija;Alytaus m. sav.;asmenys;-1088
2013;Neto migracija;Alytaus m. sav.;asmenys;-774
2014;Neto migracija;Alytaus m. sav.;asmenys;-625
2015;Neto migracija;Alytaus m. sav.;asmenys;-1027
2016;Neto migracija;Alytaus m. sav.;asmenys;-1471
2017;Neto migracija;Alytaus m. sav.;asmenys;-1112
2018;Neto migracija;Alytaus m. sav.;asmenys;-890
1990;Neto migracija;Alytaus r. sav.;asmenys;
1991;Neto migracija;Alytaus r. sav.;asmenys;
1992;Neto migracija;Alytaus r. sav.;asmenys;
1993;Neto migracija;Alytaus r. sav.;asmenys;
1994;Neto migracija;Alytaus r. sav.;asmenys;468
1995;Neto migracija;Alytaus r. sav.;asmenys;334
1996;Neto migracija;Alytaus r. sav.;asmenys;335
1997;Neto migracija;Alytaus r. sav.;asmenys;379
1998;Neto migracija;Alytaus r. sav.;asmenys;99
1999;Neto migracija;Alytaus r. sav.;asmenys;93
2000;Neto migracija;Alytaus r. sav.;asmenys;116
2001;Neto migracija;Alytaus r. sav.;asmenys;-157
2002;Neto migracija;Alytaus r. sav.;asmenys;-121
2003;Neto migracija;Alytaus r. sav.;asmenys;83
2004;Neto migracija;Alytaus r. sav.;asmenys;-35
2005;Neto migracija;Alytaus r. sav.;asmenys;-283
2006;Neto migracija;Alytaus r. sav.;asmenys;-168
2007;Neto migracija;Alytaus r. sav.;asmenys;-174
2008;Neto migracija;Alytaus r. sav.;asmenys;7
2009;Neto migracija;Alytaus r. sav.;asmenys;-140
2010;Neto migracija;Alytaus r. sav.;asmenys;-605
2011;Neto migracija;Alytaus r. sav.;asmenys;2
2012;Neto migracija;Alytaus r. sav.;asmenys;-73
2013;Neto migracija;Alytaus r. sav.;asmenys;-15
2014;Neto migracija;Alytaus r. sav.;asmenys;-23
2015;Neto migracija;Alytaus r. sav.;asmenys;-51
2016;Neto migracija;Alytaus r. sav.;asmenys;-31
2017;Neto migracija;Alytaus r. sav.;asmenys;-217
2018;Neto migracija;Alytaus r. sav.;asmenys;340
1990;Neto migracija;Druskininkų sav.;asmenys;
1991;Neto migracija;Druskininkų sav.;asmenys;
1992;Neto migracija;Druskininkų sav.;asmenys;
1993;Neto migracija;Druskininkų sav.;asmenys;
1994;Neto migracija;Druskininkų sav.;asmenys;-424
1995;Neto migracija;Druskininkų sav.;asmenys;-410
1996;Neto migracija;Druskininkų sav.;asmenys;-568
1997;Neto migracija;Druskininkų sav.;asmenys;-374
1998;Neto migracija;Druskininkų sav.;asmenys;-455
1999;Neto migracija;Druskininkų sav.;asmenys;-401
2000;Neto migracija;Druskininkų sav.;asmenys;-201
2001;Neto migracija;Druskininkų sav.;asmenys;-232
2002;Neto migracija;Druskininkų sav.;asmenys;-79
2003;Neto migracija;Druskininkų sav.;asmenys;-174
2004;Neto migracija;Druskininkų sav.;asmenys;-244
2005;Neto migracija;Druskininkų sav.;asmenys;-267
2006;Neto migracija;Druskininkų sav.;asmenys;-210
2007;Neto migracija;Druskininkų sav.;asmenys;-102
