neighbourhood;street;municipality;houses;overlap;str_type
Antakalnis;Lauksargio g. ;Vilnius;65;No;Kitas
Antakalnis;Laumžirgių g. ;Vilnius;12;No;Kitas
Antakalnis;Laurų g. ;Vilnius;70;No;Kitas
Antakalnis;Laurų Sodų 1-oji g. ;Vilnius;47;No;Sodas
Antakalnis;Laurų Sodų 2-oji g. ;Vilnius;12;No;Sodas
Antakalnis;Laurų Sodų 3-ioji g. ;Vilnius;29;No;Sodas
Antakalnis;Laurų Sodų 4-oji g. ;Vilnius;57;No;Sodas
Antakalnis;Laurų Sodų 5-oji g. ;Vilnius;21;No;Sodas
Antakalnis;Laurų Sodų 6-oji g. ;Vilnius;22;No;Sodas
Antakalnis;Laurų Sodų 7-oji g. ;Vilnius;27;No;Sodas
Antakalnis;Laurų Sodų 8-oji g. ;Vilnius;12;No;Sodas
Antakalnis;Laurų Sodų 9-oji g. ;Vilnius;20;No;Sodas
Antakalnis;Lazdynų Pelėdos g. ;Vilnius;13;No;Kitas
Antakalnis;Lentupio g. ;Vilnius;14;No;Kitas
Antakalnis;Lietaviškių g. ;Vilnius;57;No;Kitas
Antakalnis;Lingių g. ;Vilnius;1;No;Kitas
Antakalnis;Lizdeikos g. ;Vilnius;19;No;Kitas
Antakalnis;Ližiškių g. ;Vilnius;21;No;Kitas
Antakalnis;Lubinų g. ;Vilnius;25;No;Kitas
Antakalnis;M. Girdvainio g. ;Vilnius;39;No;Kitas
Antakalnis;M. K. Oginskio g. ;Vilnius;30;No;Kitas
Antakalnis;M. K. Paco g. ;Vilnius;21;No;Kitas
Antakalnis;M. Počobuto g. ;Vilnius;14;No;Kitas
Antakalnis;M. Rėmerio g. ;Vilnius;14;No;Kitas
Antakalnis;Maudyklos g. ;Vilnius;6;No;Kitas
Antakalnis;Medžiotojų g. ;Vilnius;50;No;Kitas
Antakalnis;Meiriškių g. ;Vilnius;23;No;Kitas
Antakalnis;Meldų g. ;Vilnius;14;No;Kitas
Antakalnis;Mėlynių g. ;Vilnius;12;No;Kitas
Antakalnis;Meškeriotojų g. ;Vilnius;49;No;Kitas
Antakalnis;Mėtų g. ;Vilnius;4;No;Kitas
Antakalnis;Mikalojaus Husoviano g. ;Vilnius;20;No;Kitas
Antakalnis;Mildos g. ;Vilnius;41;No;Kitas
Antakalnis;Mileišiškių g. ;Vilnius;61;No;Kitas
Antakalnis;Mileišiškių Sodų g. ;Vilnius;47;No;Sodas
Antakalnis;Mileišiškių Sodų 1-oji g. ;Vilnius;38;No;Sodas
Antakalnis;Mileišiškių Sodų 10-oji g. ;Vilnius;15;No;Sodas
Antakalnis;Mileišiškių Sodų 11-oji g. ;Vilnius;24;No;Sodas
Antakalnis;Mileišiškių Sodų 12-oji g. ;Vilnius;19;No;Sodas
Antakalnis;Mileišiškių Sodų 13-oji g. ;Vilnius;15;No;Sodas
Antakalnis;Mileišiškių Sodų 14-oji g. ;Vilnius;10;No;Sodas
Antakalnis;Mileišiškių Sodų 2-oji g. ;Vilnius;37;No;Sodas
Antakalnis;Mileišiškių Sodų 3-ioji g. ;Vilnius;16;No;Sodas
Antakalnis;Mileišiškių Sodų 4-oji g. ;Vilnius;27;No;Sodas
Antakalnis;Mileišiškių Sodų 5-oji g. ;Vilnius;14;No;Sodas
Antakalnis;Mileišiškių Sodų 6-oji g. ;Vilnius;12;No;Sodas
Antakalnis;Mileišiškių Sodų 7-oji g. ;Vilnius;9;No;Sodas
Antakalnis;Mileišiškių Sodų 8-oji g. ;Vilnius;24;No;Sodas
Antakalnis;Mileišiškių Sodų 9-oji g. ;Vilnius;5;No;Sodas
Antakalnis;Miškadvario g. ;Vilnius;24;No;Kitas
Antakalnis;Miškininkų g. ;Vilnius;10;No;Kitas
Antakalnis;Moliakalnio g. ;Vilnius;88;No;Kitas
Antakalnis;Nakvišų g. ;Vilnius;16;No;Kitas
Antakalnis;Naujakurių g. ;Vilnius;45;No;Kitas
Antakalnis;Nemenčinės pl. ;Vilnius;160;No;Kitas
Antakalnis;Nugalėtojų g. ;Vilnius;94;No;Kitas
Antakalnis;O. Milašiaus g. ;Vilnius;7;No;Kitas
Antakalnis;Olandų g. ;Vilnius;12 ;12 iš 41*;Kitas
Antakalnis;P. Vileišio g. ;Vilnius;50;No;Kitas
Antakalnis;Paliuliškių g. ;Vilnius;15;No;Kitas
Antakalnis;Pasakų g. ;Vilnius;15;No;Kitas
Antakalnis;Pauliaus Širvio g. ;Vilnius;5;No;Kitas
Antakalnis;Pavasario g. ;Vilnius;40;No;Kitas
Antakalnis;Pečiukų g. ;Vilnius;3;No;Kitas
Antakalnis;Pelynų g. ;Vilnius;8;No;Kitas
Antakalnis;Petro Rimšos g. ;Vilnius;26;No;Kitas
Antakalnis;Pienių g. ;Vilnius;16;No;Kitas
Antakalnis;Pylimėlių g. ;Vilnius;69;No;Kitas
Antakalnis;Plytinės g. ;Vilnius;37;No;Kitas
Antakalnis;Plukių g. ;Vilnius;14;No;Kitas
Antakalnis;Povilo Snarskio g. ;Vilnius;11;No;Kitas
Antakalnis;Pragiedrulių g. ;Vilnius;25;No;Kitas
Antakalnis;Pragiedrulių Sodų 1-oji g. ;Vilnius;14;No;Sodas
Antakalnis;Pragiedrulių Sodų 2-oji g. ;Vilnius;4;No;Sodas
Antakalnis;Pragiedrulių Sodų 3-ioji g. ;Vilnius;7;No;Sodas
Antakalnis;Pragiedrulių Sodų 4-oji g. ;Vilnius;7;No;Sodas
Antakalnis;Pragiedrulių Sodų 5-oji g. ;Vilnius;18;No;Sodas
Antakalnis;Pragiedrulių Sodų 6-oji g. ;Vilnius;23;No;Sodas
Antakalnis;Pragiedrulių Sodų 7-oji g. ;Vilnius;30;No;Sodas
Antakalnis;Prano Morkūno g. ;Vilnius;12;No;Kitas
Antakalnis;Puodžių g. ;Vilnius;1;No;Kitas
Antakalnis;Pupojų g. ;Vilnius;43;No;Kitas
Antakalnis;Pupojų Sodų g. ;Vilnius;6;No;Sodas
Antakalnis;Pupojų Sodų 1-oji g. ;Vilnius;24;No;Sodas
Antakalnis;Pupojų Sodų 10-oji g. ;Vilnius;14;No;Sodas
Antakalnis;Pupojų Sodų 11-oji g. ;Vilnius;7;No;Sodas
Antakalnis;Pupojų Sodų 12-oji g. ;Vilnius;14;No;Sodas
Antakalnis;Pupojų Sodų 13-oji g. ;Vilnius;10;No;Sodas
Antakalnis;Pupojų Sodų 14-oji g. ;Vilnius;9;No;Sodas
Antakalnis;Pupojų Sodų 15-oji g. ;Vilnius;16;No;Sodas
Antakalnis;Pupojų Sodų 16-oji g. ;Vilnius;21;No;Sodas
Antakalnis;Pupojų Sodų 2-oji g. ;Vilnius;33;No;Sodas
Antakalnis;Pupojų Sodų 3-ioji g. ;Vilnius;39;No;Sodas
Antakalnis;Pupojų Sodų 4-oji g. ;Vilnius;32;No;Sodas
Antakalnis;Pupojų Sodų 5-oji g. ;Vilnius;34;No;Sodas
Antakalnis;Pupojų Sodų 6-oji g. ;Vilnius;34;No;Sodas
Antakalnis;Pupojų Sodų 7-oji g. ;Vilnius;21;No;Sodas
Antakalnis;Pupojų Sodų 8-oji g. ;Vilnius;19;No;Sodas
Antakalnis;Pupojų Sodų 9-oji g. ;Vilnius;6;No;Sodas
Antakalnis;Pupų g. ;Vilnius;124;No;Kitas
Antakalnis;Purienų g. ;Vilnius;14;No;Kitas
Antakalnis;Rasakilų g. ;Vilnius;5;No;Kitas
Antakalnis;Rato g. ;Vilnius;26;No;Kitas
Antakalnis;Rokantiškių g. ;Vilnius;53 ;53 iš 82*;Kitas
Antakalnis;Rokantiškių Sodų g. ;Vilnius;11;No;Sodas
Antakalnis;Rokantiškių Sodų 1-oji g. ;Vilnius;9;No;Sodas
Antakalnis;Rokantiškių Sodų 10-oji g. ;Vilnius;27;No;Sodas
Antakalnis;Rokantiškių Sodų 11-oji g. ;Vilnius;28;No;Sodas
Antakalnis;Rokantiškių Sodų 12-oji g. ;Vilnius;18;No;Sodas
Antakalnis;Rokantiškių Sodų 13-oji g. ;Vilnius;12;No;Sodas
Antakalnis;Rokantiškių Sodų 14-oji g. ;Vilnius;9;No;Sodas
Antakalnis;Rokantiškių Sodų 15-oji g. ;Vilnius;12;No;Sodas
Antakalnis;Rokantiškių Sodų 16-oji g. ;Vilnius;15;No;Sodas
Antakalnis;Rokantiškių Sodų 17-oji g. ;Vilnius;15;No;Sodas
Antakalnis;Rokantiškių Sodų 2-oji g. ;Vilnius;21;No;Sodas
Antakalnis;Rokantiškių Sodų 3-ioji g. ;Vilnius;19;No;Sodas
Antakalnis;Rokantiškių Sodų 4-oji g. ;Vilnius;20;No;Sodas
Antakalnis;Rokantiškių Sodų 5-oji g. ;Vilnius;15;No;Sodas
Antakalnis;Rokantiškių Sodų 6-oji g. ;Vilnius;14;No;Sodas
Antakalnis;Rokantiškių Sodų 7-oji g. ;Vilnius;15;No;Sodas
Antakalnis;Rokantiškių Sodų 8-oji g. ;Vilnius;35;No;Sodas
Antakalnis;Rokantiškių Sodų 9-oji g. ;Vilnius;31;No;Sodas
Antakalnis;Rudausių g. ;Vilnius;27;No;Kitas
Antakalnis;Rudausių Sodų 1-oji g. ;Vilnius;9;No;Sodas
Antakalnis;Rudausių Sodų 10-oji g. ;Vilnius;17;No;Sodas
Antakalnis;Rudausių Sodų 11-oji g. ;Vilnius;16;No;Sodas
Antakalnis;Rudausių Sodų 12-oji g. ;Vilnius;10;No;Sodas
Antakalnis;Rudausių Sodų 13-oji g. ;Vilnius;12;No;Sodas
Antakalnis;Rudausių Sodų 2-oji g. ;Vilnius;6;No;Sodas
Antakalnis;Rudausių Sodų 3-ioji g. ;Vilnius;14;No;Sodas
Antakalnis;Rudausių Sodų 4-oji g. ;Vilnius;16;No;Sodas
Antakalnis;Rudausių Sodų 5-oji g. ;Vilnius;30;No;Sodas
Antakalnis;Rudausių Sodų 6-oji g. ;Vilnius;17;No;Sodas
Antakalnis;Rudausių Sodų 7-oji g. ;Vilnius;23;No;Sodas
Antakalnis;Rudausių Sodų 8-oji g. ;Vilnius;18;No;Sodas
Antakalnis;Rudausių Sodų 9-oji g. ;Vilnius;9;No;Sodas
Antakalnis;Rudens g. ;Vilnius;35 ;35 iš 66*;Kitas
Antakalnis;Rukeliškių g. ;Vilnius;39;No;Kitas
Antakalnis;Rūtų g. ;Vilnius;25;No;Kitas
Antakalnis;S. B. Jundzilo g. ;Vilnius;60;No;Kitas
Antakalnis;Sadūniškių g. ;Vilnius;70;No;Kitas
Antakalnis;Samanų g. ;Vilnius;15;No;Kitas
Antakalnis;Saulės g. ;Vilnius;46;No;Kitas
Antakalnis;Saulėtekio al. ;Vilnius;73;No;Kitas
Antakalnis;Skaisterių g. ;Vilnius;29;No;Kitas
Antakalnis;Skarbelio g. ;Vilnius;10;No;Kitas
Antakalnis;Skarbelio Sodų 1-oji g. ;Vilnius;17;No;Sodas
Antakalnis;Skarbelio Sodų 2-oji g. ;Vilnius;13;No;Sodas
Antakalnis;Skarbelio Sodų 3-ioji g. ;Vilnius;5;No;Sodas
Antakalnis;Smėlynės Sodų g. ;Vilnius;40;No;Sodas
Antakalnis;Smėlynės Sodų 1-oji g. ;Vilnius;21;No;Sodas
Antakalnis;Smėlynės Sodų 2-oji g. ;Vilnius;4;No;Sodas
Antakalnis;Smėlynės Sodų 3-ioji g. ;Vilnius;16;No;Sodas
Antakalnis;Smėlynės Sodų 4-oji g. ;Vilnius;22;No;Sodas
Antakalnis;Smėlynės Sodų 5-oji g. ;Vilnius;16;No;Sodas
Antakalnis;Smėlio g. ;Vilnius;30;No;Kitas
Antakalnis;Smilgų g. ;Vilnius;21;No;Kitas
Antakalnis;Sokiškių g. ;Vilnius;17;No;Kitas
Antakalnis;Stanislovo Kerbedžio g. ;Vilnius;13;No;Kitas
Antakalnis;Stepono Kairio g. ;Vilnius;30;No;Kitas
Antakalnis;Svajonių g. ;Vilnius;25;No;Kitas
Antakalnis;Šalpusnių g. ;Vilnius;12;No;Kitas
Antakalnis;Šatrijos Raganos g. ;Vilnius;72;No;Kitas
Antakalnis;Šilagėlių g. ;Vilnius;22;No;Kitas
Antakalnis;Šilėnų g. ;Vilnius;67;No;Kitas
Antakalnis;Šilėnų Sodų 1-oji g. ;Vilnius;2;No;Sodas
Antakalnis;Šilėnų Sodų 2-oji g. ;Vilnius;6;No;Sodas
Antakalnis;Šilėnų Sodų 3-ioji g. ;Vilnius;11;No;Sodas
Antakalnis;Šilėnų Sodų 4-oji g. ;Vilnius;7;No;Sodas
Antakalnis;Šilėnų Sodų 5-oji g. ;Vilnius;6;No;Sodas
Antakalnis;Šilėnų Sodų 6-oji g. ;Vilnius;16;No;Sodas
Antakalnis;Šilėnų Sodų 7-oji g. ;Vilnius;16;No;Sodas
Antakalnis;Šilėnų Sodų 8-oji g. ;Vilnius;24;No;Sodas
Antakalnis;Šilėnų Sodų 9-oji g. ;Vilnius;14;No;Sodas
Antakalnis;Šilo g. ;Vilnius;61;No;Kitas
