Laikotarpis;Rodiklis;Administracinė teritorija;Gyvenamoji vietovė;Matavimo vienetai;Reikšmė
2003;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;47556
2004;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;46920
2005;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;46154
2006;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;45142
2007;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;44350
2008;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;43643
2009;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;42893
2010;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;42042
2011;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;40270
2012;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;39222
2013;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;38355
2014;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;37548
2015;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;36919
2016;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;36160
2017;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;35265
2018;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;34376
2019;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;33928
1996;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;578327
1997;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;571164
1998;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;565881
1999;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;562353
2000;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;558816
2001;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;554281
2002;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;550924
2003;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;550213
2004;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;548729
2005;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;546773
2006;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;542525
2007;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;541732
2008;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;541596
2009;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;542969
2010;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;543191
2011;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;536127
2012;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;533279
2013;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;537152
2014;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;539707
2015;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;542626
2016;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;543493
2017;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;545280
2018;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;547484
2019;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus m. sav.;Miestas ir kaimas;asmenys;552131
1996;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;84550
1997;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;85581
1998;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;86972
1999;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;87397
2000;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;88091
2001;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;88492
2002;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;88807
2003;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;89405
2004;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;91284
2005;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;92576
2006;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;93324
2007;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;93835
2008;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;94669
2009;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;95700
2010;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;95939
2011;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;95313
2012;Nuolatinių gyventojų skaičius metų pradžioje;Vilniaus r. sav.;Miestas ir kaimas;asmenys;95650
