neighbourhood;street
Lazdynai;Vinco Krėvės g. (9)
Lazdynai;Žaros g. (33)
Lazdynai;Žėručio g. (22)
Naujamiestis;A. Domaševičiaus g. (6)
Naujamiestis;A. Goštauto g. (17)
Naujamiestis;A. Jakšto g. (19)
Naujamiestis;A. Rotundo g. (6)
Naujamiestis;A. Smetonos g. (11)
Naujamiestis;A. Stulginskio g. (4)
Naujamiestis;A. Vienuolio g. (9)
Naujamiestis;A. Vivulskio g. (49)
Naujamiestis;Aguonų g. (11 iš 23*)
Naujamiestis;Akmenų g. (13)
Naujamiestis;Algirdo g. (70)
Naujamiestis;Aludarių g. (4)
Naujamiestis;Amatų g. (4)
Naujamiestis;Ankštoji g. (7)
Naujamiestis;Antano Tumėno g. (2)
Naujamiestis;Aukų g. (3)
Naujamiestis;Beatričės g. (1)
Naujamiestis;Beržyno g. (8)
Naujamiestis;Birželio 23-iosios g. (17)
Naujamiestis;Dainavos g. (5)
Naujamiestis;Gedimino pr. (57 iš 78*)
Naujamiestis;Geležinio Vilko g. (9 iš 47*)
Naujamiestis;Geležinkelio g. (13 iš 19*)
Naujamiestis;Gynėjų g. (7)
Naujamiestis;J. Basanavičiaus g. (45 iš 67*)
Naujamiestis;J. Jablonskio g. (5)
Naujamiestis;J. Jasinskio g. (28)
Naujamiestis;J. Lelevelio g. (3)
Naujamiestis;J. Savickio g. (12)
Naujamiestis;J. Tumo-Vaižganto g. (6)
Naujamiestis;Jogailos g. (9 iš 16*)
Naujamiestis;Jono Aisčio g. (1 iš 29*)
Naujamiestis;Jovaro g. (11)
Naujamiestis;K. Donelaičio g. (28)
Naujamiestis;K. Griniaus g.
Naujamiestis;K. Kalinausko g. (21 iš 28*)
Naujamiestis;Kaštonų g. (10)
Naujamiestis;Kauno g. (34 iš 45*)
Naujamiestis;Kedrų g. (6)
Naujamiestis;Kražių g. (14)
Naujamiestis;Lentpjūvių skg. (2)
Naujamiestis;Lukiškių g. (8)
Naujamiestis;Lukiškių a. (1)
Naujamiestis;Lukiškių skg. (4)
Naujamiestis;M. K. Čiurlionio g. (70 iš 81*)
Naujamiestis;M. Valančiaus g. (6)
Naujamiestis;Marijampolės g. (8)
Naujamiestis;Mečetės g. (2)
Naujamiestis;Mindaugo g. (23 iš 40*)
Naujamiestis;Muitinės g. (7)
Naujamiestis;Naugarduko g. (74 iš 89*)
Naujamiestis;Nepriklausomybės a.
Naujamiestis;Nočios g. (10)
Naujamiestis;P. Cvirkos a.
Naujamiestis;P. Klimo g. (8)
Naujamiestis;P. Skorinos g. (11)
Naujamiestis;Pakalnės g. (10)
