;Laikotarpis;Administracinė teritorija;population;Amžius;women;proportion;population_women;population_men
275;2012;Elektrėnų sav.;24700.0;10–14;969;0.4845;11967.15;12732.85
276;2012;Elektrėnų sav.;24700.0;15–19;954;0.477;11781.9;12918.1
277;2012;Elektrėnų sav.;24700.0;20–24;905;0.4525;11176.75;13523.25
278;2012;Elektrėnų sav.;24700.0;25–29;901;0.4505;11127.35;13572.65
279;2012;Elektrėnų sav.;24700.0;30–34;950;0.475;11732.5;12967.5
280;2012;Elektrėnų sav.;24700.0;35–39;1053;0.5265;13004.55;11695.45
281;2012;Elektrėnų sav.;24700.0;40–44;1064;0.532;13140.400000000001;11559.599999999999
282;2012;Elektrėnų sav.;24700.0;45–49;1002;0.501;12374.7;12325.3
283;2012;Elektrėnų sav.;24700.0;50–54;1124;0.562;13881.400000000001;10818.599999999999
284;2012;Elektrėnų sav.;24700.0;55–59;1120;0.56;13832.000000000002;10867.999999999998
285;2012;Elektrėnų sav.;24700.0;60–64;1335;0.6675;16487.25;8212.75
286;2012;Elektrėnų sav.;24700.0;65–69;1473;0.7365;18191.55;6508.450000000001
287;2012;Elektrėnų sav.;24700.0;70–74;1660;0.83;20501.0;4199.0
288;2012;Elektrėnų sav.;24700.0;75 ir vyresni;2528;1.264;31220.8;-6520.799999999999
289;2013;Elektrėnų sav.;24396.0;Iš viso pagal amžių;1115;0.5575;13600.77;10795.23
290;2013;Elektrėnų sav.;24396.0;0–4;838;0.419;10221.923999999999;14174.076000000001
291;2013;Elektrėnų sav.;24396.0;5–9;854;0.427;10417.092;13978.908
292;2013;Elektrėnų sav.;24396.0;10–14;992;0.496;12100.416;12295.584
293;2013;Elektrėnų sav.;24396.0;15–19;961;0.4805;11722.278;12673.722
294;2013;Elektrėnų sav.;24396.0;20–24;907;0.4535;11063.586000000001;13332.413999999999
295;2013;Elektrėnų sav.;24396.0;25–29;882;0.441;10758.636;13637.364
296;2013;Elektrėnų sav.;24396.0;30–34;949;0.4745;11575.902;12820.098
297;2013;Elektrėnų sav.;24396.0;35–39;959;0.4795;11697.882;12698.118
298;2013;Elektrėnų sav.;24396.0;40–44;1069;0.5345;13039.662;11356.338
299;2013;Elektrėnų sav.;24396.0;45–49;1038;0.519;12661.524000000001;11734.475999999999
300;2013;Elektrėnų sav.;24396.0;50–54;1121;0.5605;13673.958;10722.042
301;2013;Elektrėnų sav.;24396.0;55–59;1073;0.5365;13088.454;11307.546
302;2013;Elektrėnų sav.;24396.0;60–64;1295;0.6475;15796.41;8599.59
303;2013;Elektrėnų sav.;24396.0;65–69;1470;0.735;17931.06;6464.939999999999
304;2013;Elektrėnų sav.;24396.0;70–74;1634;0.817;19931.532;4464.468000000001
305;2013;Elektrėnų sav.;24396.0;75 ir vyresni;2552;1.276;31129.296000000002;-6733.296000000002
306;2014;Elektrėnų sav.;24234.0;Iš viso pagal amžių;1116;0.558;13522.572000000002;10711.427999999998
307;2014;Elektrėnų sav.;24234.0;0–4;879;0.4395;10650.843;13583.157
308;2014;Elektrėnų sav.;24234.0;5–9;789;0.3945;9560.313;14673.687
309;2014;Elektrėnų sav.;24234.0;10–14;990;0.495;11995.83;12238.17
310;2014;Elektrėnų sav.;24234.0;15–19;986;0.493;11947.362;12286.638
311;2014;Elektrėnų sav.;24234.0;20–24;916;0.458;11099.172;13134.828
312;2014;Elektrėnų sav.;24234.0;25–29;903;0.4515;10941.651;13292.349
313;2014;Elektrėnų sav.;24234.0;30–34;902;0.451;10929.534;13304.466
314;2014;Elektrėnų sav.;24234.0;35–39;936;0.468;11341.512;12892.488
315;2014;Elektrėnų sav.;24234.0;40–44;1076;0.538;13037.892000000002;11196.107999999998
316;2014;Elektrėnų sav.;24234.0;45–49;1023;0.5115;12395.690999999999;11838.309000000001
317;2014;Elektrėnų sav.;24234.0;50–54;1142;0.571;13837.614;10396.386
318;2014;Elektrėnų sav.;24234.0;55–59;1099;0.5495;13316.583;10917.417
319;2014;Elektrėnų sav.;24234.0;60–64;1236;0.618;14976.612;9257.388
320;2014;Elektrėnų sav.;24234.0;65–69;1406;0.703;17036.502;7197.498
321;2014;Elektrėnų sav.;24234.0;70–74;1709;0.8545;20707.953;3526.0469999999987
322;2014;Elektrėnų sav.;24234.0;75 ir vyresni;2464;1.232;29856.288;-5622.2880000000005
