Laikotarpis;Rodiklis;Administracinė teritorija;Gyvenamoji vietovė;Matavimo vienetai;Reikšmė
1998;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;19.6
1999;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;19.4
2000;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;20.0
2001;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;20.0
2002;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;20.2
2003;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;20.4
2004;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;20.8
2005;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;21.1
2006;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;21.5
2007;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;21.9
2008;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;22.5
2009;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;32.1
2010;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;32.7
2011;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;34.2
2012;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;34.7
2013;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;34.8
2014;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;37.8
2015;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;39.1
2016;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;40.5
2017;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;41.9
2018;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;41.8
1995;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;16.4
1996;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;18.6
1997;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;19.0
1998;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;19.0
1999;Naudingasis plotas, tenkantis vienam gyventojui;Alytaus m. sav.;Miestas ir kaimas;m²;18.9
