Laikotarpis;Rodiklis;Individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (COICOP);Gyvenamoji vietovė;Vartojimo išlaidos;Matavimo vienetai;Reikšmė
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;25.5
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;30.9
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;7.5
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;7.6
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;8.6
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;9.5
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;10.9
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;10.8
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;9.3
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;12.7
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;7.3
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;7.8
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;9.4
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;11.8
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;14.3
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;13.5
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;12.1
