Laikotarpis;Rodiklis;Individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (COICOP);Gyvenamoji vietovė;Vartojimo išlaidos;Matavimo vienetai;Reikšmė
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Kaimas;Piniginės ir natūrinės išlaidos;EUR;11.0
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Kaimas;Piniginės ir natūrinės išlaidos;EUR;12.2
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Kaimas;Piniginės ir natūrinės išlaidos;EUR;14.9
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Kaimas;Piniginės ir natūrinės išlaidos;EUR;17.6
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Kaimas;Piniginės ir natūrinės išlaidos;EUR;21.3
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Kaimas;Piniginės ir natūrinės išlaidos;EUR;29.3
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Kaimas;Piniginės ir natūrinės išlaidos;EUR;27.2
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Kaimas;Piniginės ir natūrinės išlaidos;EUR;4.5
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Kaimas;Piniginės ir natūrinės išlaidos;EUR;6.3
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Kaimas;Piniginės ir natūrinės išlaidos;EUR;6.8
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Kaimas;Piniginės ir natūrinės išlaidos;EUR;9.3
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Kaimas;Piniginės ir natūrinės išlaidos;EUR;10.4
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Kaimas;Piniginės ir natūrinės išlaidos;EUR;16.1
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Kaimas;Piniginės ir natūrinės išlaidos;EUR;9.5
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Kaimas;Piniginės ir natūrinės išlaidos;EUR;13.5
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Kaimas;Piniginės ir natūrinės išlaidos;EUR;5.2
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Kaimas;Piniginės ir natūrinės išlaidos;EUR;6.5
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Kaimas;Piniginės ir natūrinės išlaidos;EUR;6.9
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Kaimas;Piniginės ir natūrinės išlaidos;EUR;8.5
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Kaimas;Piniginės ir natūrinės išlaidos;EUR;10.2
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Kaimas;Piniginės ir natūrinės išlaidos;EUR;9.5
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Kaimas;Piniginės ir natūrinės išlaidos;EUR;11.8
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Kaimas;Piniginės ir natūrinės išlaidos;EUR;16.1
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;9.9
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;10.4
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;14.1
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;18.3
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;16.4
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;24.4
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;23.3
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;27.2
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;4.3
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;4.4
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;5.0
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;6.6
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;6.9
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;8.4
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;7.3
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;10.2
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Kaimas;Piniginės ir natūrinės išlaidos;EUR;3.5
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Kaimas;Piniginės ir natūrinės išlaidos;EUR;4.0
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Kaimas;Piniginės ir natūrinės išlaidos;EUR;4.7
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Kaimas;Piniginės ir natūrinės išlaidos;EUR;6.7
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Kaimas;Piniginės ir natūrinės išlaidos;EUR;6.6
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Kaimas;Piniginės ir natūrinės išlaidos;EUR;8.4
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Kaimas;Piniginės ir natūrinės išlaidos;EUR;7.6
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Kaimas;Piniginės ir natūrinės išlaidos;EUR;12.1
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;0.5
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;0.7
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;0.8
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;1.1
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;0.7
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;1.1
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;1.5
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;1.5
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;2.8
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;2.7
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;3.1
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;4.5
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;4.9
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;7.5
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;4.7
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;6.5
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Kaimas;Piniginės ir natūrinės išlaidos;EUR;3.9
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Kaimas;Piniginės ir natūrinės išlaidos;EUR;4.2
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Kaimas;Piniginės ir natūrinės išlaidos;EUR;4.5
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Kaimas;Piniginės ir natūrinės išlaidos;EUR;6.5
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Kaimas;Piniginės ir natūrinės išlaidos;EUR;6.5
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Kaimas;Piniginės ir natūrinės išlaidos;EUR;9.9
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Kaimas;Piniginės ir natūrinės išlaidos;EUR;9.0
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Kaimas;Piniginės ir natūrinės išlaidos;EUR;12.8
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas ir kaimas;Piniginės išlaidos;EUR;126.3
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas ir kaimas;Piniginės išlaidos;EUR;136.2
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas ir kaimas;Piniginės išlaidos;EUR;157.6
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas ir kaimas;Piniginės išlaidos;EUR;181.7
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas ir kaimas;Piniginės išlaidos;EUR;211.3
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas ir kaimas;Piniginės išlaidos;EUR;228.7
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas ir kaimas;Piniginės išlaidos;EUR;227.3
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas ir kaimas;Piniginės išlaidos;EUR;277.2
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas ir kaimas;Piniginės išlaidos;EUR;38.1
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas ir kaimas;Piniginės išlaidos;EUR;40.8
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas ir kaimas;Piniginės išlaidos;EUR;45.8
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas ir kaimas;Piniginės išlaidos;EUR;48.7
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas ir kaimas;Piniginės išlaidos;EUR;57.6
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas ir kaimas;Piniginės išlaidos;EUR;66.5
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas ir kaimas;Piniginės išlaidos;EUR;69.2
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas ir kaimas;Piniginės išlaidos;EUR;79.2
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas ir kaimas;Piniginės išlaidos;EUR;5.4
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas ir kaimas;Piniginės išlaidos;EUR;5.7
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas ir kaimas;Piniginės išlaidos;EUR;6.5
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas ir kaimas;Piniginės išlaidos;EUR;7.2
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas ir kaimas;Piniginės išlaidos;EUR;7.9
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas ir kaimas;Piniginės išlaidos;EUR;9.1
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas ir kaimas;Piniginės išlaidos;EUR;8.5
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas ir kaimas;Piniginės išlaidos;EUR;11.8
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas ir kaimas;Piniginės išlaidos;EUR;11.7
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas ir kaimas;Piniginės išlaidos;EUR;12.5
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas ir kaimas;Piniginės išlaidos;EUR;14.9
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas ir kaimas;Piniginės išlaidos;EUR;17.2
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas ir kaimas;Piniginės išlaidos;EUR;20.8
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas ir kaimas;Piniginės išlaidos;EUR;20.3
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas ir kaimas;Piniginės išlaidos;EUR;16.3
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas ir kaimas;Piniginės išlaidos;EUR;20.7
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas ir kaimas;Piniginės išlaidos;EUR;17.4
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas ir kaimas;Piniginės išlaidos;EUR;17.9
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas ir kaimas;Piniginės išlaidos;EUR;20.2
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas ir kaimas;Piniginės išlaidos;EUR;22.6
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas ir kaimas;Piniginės išlaidos;EUR;26.0
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas ir kaimas;Piniginės išlaidos;EUR;29.2
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas ir kaimas;Piniginės išlaidos;EUR;43.7
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas ir kaimas;Piniginės išlaidos;EUR;41.7
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas ir kaimas;Piniginės išlaidos;EUR;7.4
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas ir kaimas;Piniginės išlaidos;EUR;9.0
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas ir kaimas;Piniginės išlaidos;EUR;10.3
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas ir kaimas;Piniginės išlaidos;EUR;13.9
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas ir kaimas;Piniginės išlaidos;EUR;16.5
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas ir kaimas;Piniginės išlaidos;EUR;16.3
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas ir kaimas;Piniginės išlaidos;EUR;11.0
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas ir kaimas;Piniginės išlaidos;EUR;16.2
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas ir kaimas;Piniginės išlaidos;EUR;5.3
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas ir kaimas;Piniginės išlaidos;EUR;6.1
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas ir kaimas;Piniginės išlaidos;EUR;6.8
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas ir kaimas;Piniginės išlaidos;EUR;7.6
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas ir kaimas;Piniginės išlaidos;EUR;8.5
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas ir kaimas;Piniginės išlaidos;EUR;9.8
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas ir kaimas;Piniginės išlaidos;EUR;11.0
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas ir kaimas;Piniginės išlaidos;EUR;16.0
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Miestas ir kaimas;Piniginės išlaidos;EUR;13.3
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Miestas ir kaimas;Piniginės išlaidos;EUR;14.7
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Miestas ir kaimas;Piniginės išlaidos;EUR;17.2
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Miestas ir kaimas;Piniginės išlaidos;EUR;23.3
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Miestas ir kaimas;Piniginės išlaidos;EUR;25.8
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Miestas ir kaimas;Piniginės išlaidos;EUR;27.4
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Miestas ir kaimas;Piniginės išlaidos;EUR;25.0
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Miestas ir kaimas;Piniginės išlaidos;EUR;30.4
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas ir kaimas;Piniginės išlaidos;EUR;7.2
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas ir kaimas;Piniginės išlaidos;EUR;7.3
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas ir kaimas;Piniginės išlaidos;EUR;8.3
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas ir kaimas;Piniginės išlaidos;EUR;9.1
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas ir kaimas;Piniginės išlaidos;EUR;10.6
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas ir kaimas;Piniginės išlaidos;EUR;10.6
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas ir kaimas;Piniginės išlaidos;EUR;9.0
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas ir kaimas;Piniginės išlaidos;EUR;12.5
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas ir kaimas;Piniginės išlaidos;EUR;7.3
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas ir kaimas;Piniginės išlaidos;EUR;7.8
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas ir kaimas;Piniginės išlaidos;EUR;9.4
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas ir kaimas;Piniginės išlaidos;EUR;11.8
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas ir kaimas;Piniginės išlaidos;EUR;14.3
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas ir kaimas;Piniginės išlaidos;EUR;13.5
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas ir kaimas;Piniginės išlaidos;EUR;12.1
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas ir kaimas;Piniginės išlaidos;EUR;19.1
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas ir kaimas;Piniginės išlaidos;EUR;1.7
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas ir kaimas;Piniginės išlaidos;EUR;1.9
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas ir kaimas;Piniginės išlaidos;EUR;2.4
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas ir kaimas;Piniginės išlaidos;EUR;2.2
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas ir kaimas;Piniginės išlaidos;EUR;2.0
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas ir kaimas;Piniginės išlaidos;EUR;1.9
