;Laikotarpis;Administracinė teritorija;population;Amžius;women;proportion;population_women;population_men
8027;2012;Prienų r. sav.;29365.0;10–14;919.0;0.455930359085963;13388.394994559305;15976.605005440695
8028;2012;Prienų r. sav.;29365.0;15–19;945.0;0.47089947089947093;13827.962962962964;15537.037037037036
8029;2012;Prienų r. sav.;29365.0;20–24;882.0;0.4331065759637188;12718.174603174602;16646.8253968254
8030;2012;Prienų r. sav.;29365.0;25–29;898.0;0.44320712694877507;13014.77728285078;16350.22271714922
8031;2012;Prienų r. sav.;29365.0;30–34;900.0;0.4444444444444444;13051.11111111111;16313.88888888889
8032;2012;Prienų r. sav.;29365.0;35–39;1019.0;0.5093228655544652;14956.265947006868;14408.734052993132
8033;2012;Prienų r. sav.;29365.0;40–44;990.0;0.4949494949494949;14534.191919191919;14830.808080808081
8034;2012;Prienų r. sav.;29365.0;45–49;998.0;0.498997995991984;14653.076152304611;14711.923847695389
8035;2012;Prienų r. sav.;29365.0;50–54;1002.0;0.500998003992016;14711.80638722555;14653.19361277445
8036;2012;Prienų r. sav.;29365.0;55–59;1058.0;0.5274102079395084;15487.400756143665;13877.599243856335
8037;2012;Prienų r. sav.;29365.0;60–64;1192.0;0.5805369127516778;17047.46644295302;12317.53355704698
8038;2012;Prienų r. sav.;29365.0;65–69;1455.0;0.6563573883161512;19273.93470790378;10091.06529209622
8039;2012;Prienų r. sav.;29365.0;70–74;1657.0;0.6982498491249245;20504.106819553406;8860.893180446594
8040;2012;Prienų r. sav.;29365.0;75 ir vyresni;2343.0;0.786598378147674;23098.461374306447;6266.538625693553
8041;2013;Prienų r. sav.;29023.0;Iš viso pagal amžių;1126.0;0.5559502664298401;16135.34458259325;12887.65541740675
8042;2013;Prienų r. sav.;29023.0;0–4;918.0;0.4553376906318083;13215.265795206971;15807.734204793029
8043;2013;Prienų r. sav.;29023.0;5–9;956.0;0.4769874476987448;13843.60669456067;15179.39330543933
8044;2013;Prienų r. sav.;29023.0;10–14;1026.0;0.5126705653021443;14879.237816764133;14143.762183235867
8045;2013;Prienų r. sav.;29023.0;15–19;929.0;0.46178686759956944;13402.440258342303;15620.559741657697
8046;2013;Prienų r. sav.;29023.0;20–24;841.0;0.4054696789536266;11767.946492271105;17255.053507728895
8047;2013;Prienų r. sav.;29023.0;25–29;906.0;0.44812362030905073;13005.89183222958;16017.10816777042
8048;2013;Prienų r. sav.;29023.0;30–34;904.0;0.44690265486725667;12970.45575221239;16052.54424778761
8049;2013;Prienų r. sav.;29023.0;35–39;981.0;0.490316004077472;14230.44138634047;14792.55861365953
8050;2013;Prienų r. sav.;29023.0;40–44;1003.0;0.5014955134596211;14554.904287138583;14468.095712861417
8051;2013;Prienų r. sav.;29023.0;45–49;977.0;0.4882292732855681;14169.878198567043;14853.121801432957
8052;2013;Prienų r. sav.;29023.0;50–54;1009.0;0.5044598612487612;14640.938553022796;14382.061446977204
8053;2013;Prienų r. sav.;29023.0;55–59;1058.0;0.5274102079395084;15307.026465028353;13715.973534971647
8054;2013;Prienų r. sav.;29023.0;60–64;1177.0;0.5751911639762107;16693.773152081565;12329.226847918435
8055;2013;Prienų r. sav.;29023.0;65–69;1408.0;0.6448863636363636;18716.536931818184;10306.463068181816
8056;2013;Prienų r. sav.;29023.0;70–74;1645.0;0.696048632218845;20201.41945288754;8821.580547112459
8057;2013;Prienų r. sav.;29023.0;75 ir vyresni;2348.0;0.787052810902896;22842.63373083475;6180.36626916525
8058;2014;Prienų r. sav.;28521.0;Iš viso pagal amžių;1124.0;0.5551601423487544;15833.722419928825;12687.277580071175
8059;2014;Prienų r. sav.;28521.0;0–4;974.0;0.48665297741273106;13879.829568788502;14641.170431211498
8060;2014;Prienų r. sav.;28521.0;5–9;911.0;0.4511525795828759;12867.322722283205;15653.677277716795
8061;2014;Prienų r. sav.;28521.0;10–14;1055.0;0.5260663507109005;15003.938388625593;13517.061611374407
8062;2014;Prienų r. sav.;28521.0;15–19;896.0;0.4419642857142857;12605.263392857143;15915.736607142857
8063;2014;Prienų r. sav.;28521.0;20–24;842.0;0.40617577197149646;11584.53919239905;16936.46080760095
8064;2014;Prienų r. sav.;28521.0;25–29;843.0;0.4068801897983393;11604.629893238434;16916.370106761566
8065;2014;Prienų r. sav.;28521.0;30–34;915.0;0.45355191256830596;12935.754098360654;15585.245901639346
8066;2014;Prienų r. sav.;28521.0;35–39;973.0;0.48612538540596095;13864.782117163413;14656.217882836587
8067;2014;Prienų r. sav.;28521.0;40–44;977.0;0.4882292732855681;13924.787103377688;14596.212896622312
8068;2014;Prienų r. sav.;28521.0;45–49;1012.0;0.5059288537549407;14429.596837944662;14091.403162055338
8069;2014;Prienų r. sav.;28521.0;50–54;1036.0;0.5173745173745175;14756.038610038613;13764.961389961387
8070;2014;Prienų r. sav.;28521.0;55–59;1053.0;0.5251661918328585;14978.264957264957;13542.735042735043
8071;2014;Prienų r. sav.;28521.0;60–64;1166.0;0.5711835334476845;16290.725557461408;12230.274442538592
8072;2014;Prienų r. sav.;28521.0;65–69;1387.0;0.6395097332372026;18239.457101658256;10281.542898341744
8073;2014;Prienų r. sav.;28521.0;70–74;1631.0;0.6934396076026977;19777.59104843654;8743.408951563459
8074;2014;Prienų r. sav.;28521.0;75 ir vyresni;2357.0;0.7878659312685617;22470.724225710648;6050.275774289352
8075;2015;Prienų r. sav.;28181.0;Iš viso pagal amžių;1119.0;0.5531724754244862;15588.953529937446;12592.046470062554
8076;2015;Prienų r. sav.;28181.0;0–4;1003.0;0.5014955134596211;14132.645064805582;14048.354935194418
8077;2015;Prienų r. sav.;28181.0;5–9;911.0;0.4511525795828759;12713.930845225026;15467.069154774974
8078;2015;Prienų r. sav.;28181.0;10–14;1052.0;0.5247148288973384;14786.988593155895;13394.011406844105
8079;2015;Prienų r. sav.;28181.0;15–19;888.0;0.4369369369369369;12313.319819819819;15867.680180180181
8080;2015;Prienų r. sav.;28181.0;20–24;891.0;0.4388327721661055;12366.74635241302;15814.25364758698
8081;2015;Prienų r. sav.;28181.0;25–29;793.0;0.3694829760403531;10412.39974779319;17768.60025220681
8082;2015;Prienų r. sav.;28181.0;30–34;842.0;0.40617577197149646;11446.439429928741;16734.56057007126
8083;2015;Prienų r. sav.;28181.0;35–39;1029.0;0.5140913508260447;14487.608357628767;13693.391642371233
8084;2015;Prienų r. sav.;28181.0;40–44;963.0;0.48078920041536866;13549.120456905504;14631.879543094496
8085;2015;Prienų r. sav.;28181.0;45–49;1008.0;0.503968253968254;14202.329365079364;13978.670634920636
8086;2015;Prienų r. sav.;28181.0;50–54;1010.0;0.504950495049505;14230.009900990099;13950.990099009901
8087;2015;Prienų r. sav.;28181.0;55–59;1069.0;0.5322731524789523;14999.989710009357;13181.010289990643
8088;2015;Prienų r. sav.;28181.0;60–64;1105.0;0.5475113122171946;15429.416289592762;12751.583710407238
8089;2015;Prienų r. sav.;28181.0;65–69;1444.0;0.6537396121883656;18423.03601108033;9757.96398891967
8090;2015;Prienų r. sav.;28181.0;70–74;1615.0;0.6904024767801857;19456.232198142414;8724.767801857586
8091;2015;Prienų r. sav.;28181.0;75 ir vyresni;2306.0;0.7831743278404163;22070.63573287077;6110.364267129229
