Laikotarpis;Rodiklis;Administracinė teritorija;Amžius;Matavimo vienetai;Reikšmė
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1128
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1128
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1130
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1131
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1123
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1121
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1122
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1115
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1116
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1112
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1112
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1101
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1071
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1052
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1080
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1084
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1089
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1092
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1098
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1104
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1109
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1115
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1113
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1110
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1107
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1107
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1106
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1103
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1095
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1097
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1094
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1089
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šalčininkų r. sav.;Iš viso pagal amžių;asmenys;1072
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Širvintų r. sav.;Iš viso pagal amžių;asmenys;
