;Laikotarpis;Administracinė teritorija;population;Amžius;women;proportion;population_women;population_men;possibility;group;men_proportion;group_men;age_woman;age_men
193;2007;Elektrėnų sav.;26654.0;25–29;872;0.436;11621.144;15032.856;0.0625;0.02725;0.5640000000000001;0.035250000000000004;726.3215;939.5535000000001
194;2007;Elektrėnų sav.;26654.0;30–34;1000;0.5;13327.0;13327.0;0.0625;0.03125;0.5;0.03125;832.9375;832.9375
195;2007;Elektrėnų sav.;26654.0;35–39;1067;0.5335;14219.909;12434.091;0.0625;0.03334375;0.4665;0.02915625;888.7443125;777.1306875
196;2007;Elektrėnų sav.;26654.0;40–44;1018;0.509;13566.886;13087.114;0.0625;0.0318125;0.491;0.0306875;847.930375;817.944625
197;2007;Elektrėnų sav.;26654.0;45–49;1072;0.536;14286.544000000002;12367.455999999998;0.0625;0.0335;0.46399999999999997;0.028999999999999998;892.9090000000001;772.9659999999999
198;2007;Elektrėnų sav.;26654.0;50–54;1074;0.537;14313.198;12340.802;0.0625;0.0335625;0.46299999999999997;0.028937499999999998;894.574875;771.300125
199;2007;Elektrėnų sav.;26654.0;55–59;1214;0.607;16178.978;10475.022;0.0625;0.0379375;0.393;0.0245625;1011.186125;654.688875
200;2007;Elektrėnų sav.;26654.0;60–64;1368;0.684;18231.336000000003;8422.663999999997;0.0625;0.04275;0.31599999999999995;0.019749999999999997;1139.4585000000002;526.4164999999999
201;2007;Elektrėnų sav.;26654.0;65–69;1339;0.6695;17844.853;8809.147;0.0625;0.04184375;0.3305;0.02065625;1115.3033125;550.5716875
202;2007;Elektrėnų sav.;26654.0;70–74;1809;0.9045;24108.542999999998;2545.457000000002;0.0625;0.05653125;0.09550000000000003;0.005968750000000002;1506.7839374999999;159.09106250000005
203;2007;Elektrėnų sav.;26654.0;75 ir vyresni;2566;1.283;34197.081999999995;-7543.081999999995;0.0625;0.0801875;0.2829999999999999;0.017687499999999995;2137.3176249999997;471.44262499999985
204;2008;Elektrėnų sav.;26338.0;Iš viso pagal amžių;1130;0.565;14880.97;11457.03;0.0625;0.0353125;0.43500000000000005;0.027187500000000003;930.060625;716.064375
205;2008;Elektrėnų sav.;26338.0;0–4;970;0.485;12773.93;13564.07;0.0625;0.0303125;0.515;0.0321875;798.370625;847.754375
206;2008;Elektrėnų sav.;26338.0;5–9;1016;0.508;13379.704;12958.296;0.0625;0.03175;0.492;0.03075;836.2315;809.8935
207;2008;Elektrėnų sav.;26338.0;10–14;951;0.4755;12523.719;13814.281;0.0625;0.02971875;0.5245;0.03278125;782.7324375;863.3925624999999
208;2008;Elektrėnų sav.;26338.0;15–19;935;0.4675;12313.015000000001;14024.984999999999;0.0625;0.02921875;0.5325;0.03328125;769.5634375000001;876.5615624999999
209;2008;Elektrėnų sav.;26338.0;20–24;974;0.487;12826.606;13511.394;0.0625;0.0304375;0.513;0.0320625;801.662875;844.462125
210;2008;Elektrėnų sav.;26338.0;25–29;823;0.4115;10838.087;15499.913;0.0625;0.02571875;0.5885;0.03678125;677.3804375;968.7445625
211;2008;Elektrėnų sav.;26338.0;30–34;945;0.4725;12444.705;13893.295;0.0625;0.02953125;0.5275000000000001;0.032968750000000005;777.7940625;868.3309375000001
212;2008;Elektrėnų sav.;26338.0;35–39;1042;0.521;13722.098;12615.902;0.0625;0.0325625;0.479;0.0299375;857.631125;788.493875
213;2008;Elektrėnų sav.;26338.0;40–44;1094;0.547;14406.886;11931.114;0.0625;0.0341875;0.45299999999999996;0.028312499999999997;900.430375;745.694625
214;2008;Elektrėnų sav.;26338.0;45–49;1078;0.539;14196.182;12141.818;0.0625;0.0336875;0.46099999999999997;0.028812499999999998;887.261375;758.863625
215;2008;Elektrėnų sav.;26338.0;50–54;1064;0.532;14011.816;12326.184;0.0625;0.03325;0.46799999999999997;0.029249999999999998;875.7385;770.3865
216;2008;Elektrėnų sav.;26338.0;55–59;1191;0.5955;15684.279;10653.721;0.0625;0.03721875;0.40449999999999997;0.025281249999999998;980.2674375;665.8575625
217;2008;Elektrėnų sav.;26338.0;60–64;1353;0.6765;17817.657;8520.343;0.0625;0.04228125;0.3235;0.02021875;1113.6035625;532.5214375
218;2008;Elektrėnų sav.;26338.0;65–69;1344;0.672;17699.136000000002;8638.863999999998;0.0625;0.042;0.32799999999999996;0.020499999999999997;1106.1960000000001;539.929
219;2008;Elektrėnų sav.;26338.0;70–74;1911;0.9555;25165.959;1172.041000000001;0.0625;0.05971875;0.044499999999999984;0.002781249999999999;1572.8724375;73.25256249999997
220;2008;Elektrėnų sav.;26338.0;75 ir vyresni;2484;1.242;32711.796;-6373.7959999999985;0.0625;0.077625;0.242;0.015125;2044.48725;398.36224999999996
221;2009;Elektrėnų sav.;26041.0;Iš viso pagal amžių;1131;0.5655;14726.1855;11314.8145;0.0625;0.03534375;0.4345;0.02715625;920.38659375;707.17590625
222;2009;Elektrėnų sav.;26041.0;0–4;951;0.4755;12382.495499999999;13658.504500000001;0.0625;0.02971875;0.5245;0.03278125;773.9059687499999;853.65653125
223;2009;Elektrėnų sav.;26041.0;5–9;1044;0.522;13593.402;12447.598;0.0625;0.032625;0.478;0.029875;849.587625;777.974875
224;2009;Elektrėnų sav.;26041.0;10–14;937;0.4685;12200.2085;13840.7915;0.0625;0.02928125;0.5315;0.03321875;762.51303125;865.04946875
225;2009;Elektrėnų sav.;26041.0;15–19;938;0.469;12213.229;13827.771;0.0625;0.0293125;0.531;0.0331875;763.3268125;864.2356875
226;2009;Elektrėnų sav.;26041.0;20–24;984;0.492;12812.172;13228.828;0.0625;0.03075;0.508;0.03175;800.76075;826.80175
227;2009;Elektrėnų sav.;26041.0;25–29;814;0.407;10598.687;15442.313;0.0625;0.0254375;0.593;0.0370625;662.4179375;965.1445625
228;2009;Elektrėnų sav.;26041.0;30–34;928;0.464;12083.024000000001;13957.975999999999;0.0625;0.029;0.536;0.0335;755.1890000000001;872.3735
229;2009;Elektrėnų sav.;26041.0;35–39;1041;0.5205;13554.340499999998;12486.659500000002;0.0625;0.03253125;0.47950000000000004;0.029968750000000002;847.1462812499999;780.4162187500001
230;2009;Elektrėnų sav.;26041.0;40–44;1112;0.556;14478.796000000002;11562.203999999998;0.0625;0.03475;0.44399999999999995;0.027749999999999997;904.9247500000001;722.6377499999999
231;2009;Elektrėnų sav.;26041.0;45–49;1088;0.544;14166.304000000002;11874.695999999998;0.0625;0.034;0.45599999999999996;0.028499999999999998;885.3940000000001;742.1684999999999
232;2009;Elektrėnų sav.;26041.0;50–54;1083;0.5415;14101.2015;11939.7985;0.0625;0.03384375;0.4585;0.02865625;881.32509375;746.23740625
233;2009;Elektrėnų sav.;26041.0;55–59;1145;0.5725;14908.4725;11132.5275;0.0625;0.03578125;0.4275;0.02671875;931.77953125;695.78296875
234;2009;Elektrėnų sav.;26041.0;60–64;1278;0.639;16640.199;9400.801;0.0625;0.0399375;0.361;0.0225625;1040.0124375;587.5500625
235;2009;Elektrėnų sav.;26041.0;65–69;1457;0.7285;18970.8685;7070.1314999999995;0.0625;0.04553125;0.27149999999999996;0.016968749999999998;1185.67928125;441.88321874999997
236;2009;Elektrėnų sav.;26041.0;70–74;1780;0.89;23176.49;2864.5099999999984;0.0625;0.055625;0.10999999999999999;0.006874999999999999;1448.530625;179.03187499999999
237;2009;Elektrėnų sav.;26041.0;75 ir vyresni;2550;1.275;33202.274999999994;-7161.274999999994;0.0625;0.0796875;0.2749999999999999;0.017187499999999994;2075.1421874999996;447.57968749999986
238;2010;Elektrėnų sav.;25802.0;Iš viso pagal amžių;1123;0.5615;14487.823;11314.177;0.0625;0.03509375;0.4385;0.02740625;905.4889375;707.1360625
239;2010;Elektrėnų sav.;25802.0;0–4;910;0.455;11739.91;14062.09;0.0625;0.0284375;0.5449999999999999;0.034062499999999996;733.744375;878.8806249999999
240;2010;Elektrėnų sav.;25802.0;5–9;1113;0.5565;14358.813;11443.187;0.0625;0.03478125;0.4435;0.02771875;897.4258125;715.1991875
241;2010;Elektrėnų sav.;25802.0;10–14;914;0.457;11791.514000000001;14010.485999999999;0.0625;0.0285625;0.5429999999999999;0.033937499999999995;736.9696250000001;875.6553749999999
242;2010;Elektrėnų sav.;25802.0;15–19;943;0.4715;12165.643;13636.357;0.0625;0.02946875;0.5285;0.03303125;760.3526875;852.2723125
243;2010;Elektrėnų sav.;25802.0;20–24;965;0.4825;12449.465;13352.535;0.0625;0.03015625;0.5175000000000001;0.032343750000000004;778.0915625;834.5334375000001
244;2010;Elektrėnų sav.;25802.0;25–29;782;0.391;10088.582;15713.418;0.0625;0.0244375;0.609;0.0380625;630.536375;982.088625
245;2010;Elektrėnų sav.;25802.0;30–34;967;0.4835;12475.267;13326.733;0.0625;0.03021875;0.5165;0.03228125;779.7041875;832.9208124999999
246;2010;Elektrėnų sav.;25802.0;35–39;1017;0.5085;13120.317;12681.683;0.0625;0.03178125;0.49150000000000005;0.030718750000000003;820.0198125;792.6051875
247;2010;Elektrėnų sav.;25802.0;40–44;1094;0.547;14113.694000000001;11688.305999999999;0.0625;0.0341875;0.45299999999999996;0.028312499999999997;882.1058750000001;730.5191249999999
248;2010;Elektrėnų sav.;25802.0;45–49;1083;0.5415;13971.783;11830.217;0.0625;0.03384375;0.4585;0.02865625;873.2364375;739.3885625
249;2010;Elektrėnų sav.;25802.0;50–54;1093;0.5465;14100.793;11701.207;0.0625;0.03415625;0.4535;0.02834375;881.2995625;731.3254375
