Laikotarpis;Rodiklis;Administracinė teritorija;Matavimo vienetai;Reikšmė
2004;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;2.2
2005;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;1.6
2006;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;1.1
2007;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;1.0
2008;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;1.3
2009;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;5.9
2010;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;13.1
2011;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;10.3
2012;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;8.8
2013;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;7.4
2014;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;6.0
2015;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;4.9
2016;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;5.8
2017;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;6.1
2018;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;6.3
1993;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;
1994;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;
1995;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;
1996;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;
1997;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;7.8
1998;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;7.8
1999;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;10.3
2000;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;14.1
2001;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;15.5
2002;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;12.9
2003;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;10.4
2004;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;8.7
2005;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;6.3
2006;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;4.6
2007;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;4.0
2008;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;4.1
2009;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;11.1
2010;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;17.7
2011;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;14.5
2012;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;14.2
2013;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;14.5
2014;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;13.3
2015;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;12.4
2016;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;11.4
2017;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;10.4
2018;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Ukmergės r. sav.;proc.;10.3
1993;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;
1994;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;
1995;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;
1996;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;
1997;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;4.7
1998;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;3.8
1999;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;4.6
2000;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;6.4
2001;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;6.9
2002;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;5.4
2003;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;4.9
2004;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;3.6
2005;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;2.8
2006;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;2.4
2007;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;2.5
2008;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;3.0
2009;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;9.2
2010;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;14.1
2011;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;10.8
2012;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus m. sav.;proc.;9.1
