;neighbourhood;street;municipality;houses;str_type
163;Antakalnis;Lakštingalos Sodų 5-oji g. ;Vilnius;10;Sodas
164;Antakalnis;Lakštingalos Sodų 6-oji g. ;Vilnius;5;Sodas
165;Antakalnis;Lakštingalų g. ;Vilnius;21;Kitas
166;Antakalnis;Latežerio g. ;Vilnius;6;Kitas
167;Antakalnis;Lauksargio g. ;Vilnius;65;Kitas
168;Antakalnis;Laumžirgių g. ;Vilnius;12;Kitas
169;Antakalnis;Laurų g. ;Vilnius;70;Kitas
170;Antakalnis;Laurų Sodų 1-oji g. ;Vilnius;47;Sodas
171;Antakalnis;Laurų Sodų 2-oji g. ;Vilnius;12;Sodas
172;Antakalnis;Laurų Sodų 3-ioji g. ;Vilnius;29;Sodas
173;Antakalnis;Laurų Sodų 4-oji g. ;Vilnius;57;Sodas
174;Antakalnis;Laurų Sodų 5-oji g. ;Vilnius;21;Sodas
175;Antakalnis;Laurų Sodų 6-oji g. ;Vilnius;22;Sodas
176;Antakalnis;Laurų Sodų 7-oji g. ;Vilnius;27;Sodas
177;Antakalnis;Laurų Sodų 8-oji g. ;Vilnius;12;Sodas
178;Antakalnis;Laurų Sodų 9-oji g. ;Vilnius;20;Sodas
179;Antakalnis;Lazdynų Pelėdos g. ;Vilnius;13;Kitas
180;Antakalnis;Lentupio g. ;Vilnius;14;Kitas
181;Antakalnis;Lietaviškių g. ;Vilnius;57;Kitas
182;Antakalnis;Lingių g. ;Vilnius;1;Kitas
183;Antakalnis;Lizdeikos g. ;Vilnius;19;Kitas
184;Antakalnis;Ližiškių g. ;Vilnius;21;Kitas
185;Antakalnis;Lubinų g. ;Vilnius;25;Kitas
186;Antakalnis;M. Girdvainio g. ;Vilnius;39;Kitas
187;Antakalnis;M. K. Oginskio g. ;Vilnius;30;Kitas
188;Antakalnis;M. K. Paco g. ;Vilnius;21;Kitas
189;Antakalnis;M. Počobuto g. ;Vilnius;14;Kitas
190;Antakalnis;M. Rėmerio g. ;Vilnius;14;Kitas
191;Antakalnis;Maudyklos g. ;Vilnius;6;Kitas
192;Antakalnis;Medžiotojų g. ;Vilnius;50;Kitas
193;Antakalnis;Meiriškių g. ;Vilnius;23;Kitas
194;Antakalnis;Meldų g. ;Vilnius;14;Kitas
195;Antakalnis;Mėlynių g. ;Vilnius;12;Kitas
196;Antakalnis;Meškeriotojų g. ;Vilnius;49;Kitas
197;Antakalnis;Mėtų g. ;Vilnius;4;Kitas
198;Antakalnis;Mikalojaus Husoviano g. ;Vilnius;20;Kitas
199;Antakalnis;Mildos g. ;Vilnius;41;Kitas
200;Antakalnis;Mileišiškių g. ;Vilnius;61;Kitas
201;Antakalnis;Mileišiškių Sodų g. ;Vilnius;47;Sodas
202;Antakalnis;Mileišiškių Sodų 1-oji g. ;Vilnius;38;Sodas
203;Antakalnis;Mileišiškių Sodų 10-oji g. ;Vilnius;15;Sodas
204;Antakalnis;Mileišiškių Sodų 11-oji g. ;Vilnius;24;Sodas
205;Antakalnis;Mileišiškių Sodų 12-oji g. ;Vilnius;19;Sodas
206;Antakalnis;Mileišiškių Sodų 13-oji g. ;Vilnius;15;Sodas
207;Antakalnis;Mileišiškių Sodų 14-oji g. ;Vilnius;10;Sodas
208;Antakalnis;Mileišiškių Sodų 2-oji g. ;Vilnius;37;Sodas
209;Antakalnis;Mileišiškių Sodų 3-ioji g. ;Vilnius;16;Sodas
210;Antakalnis;Mileišiškių Sodų 4-oji g. ;Vilnius;27;Sodas
211;Antakalnis;Mileišiškių Sodų 5-oji g. ;Vilnius;14;Sodas
212;Antakalnis;Mileišiškių Sodų 6-oji g. ;Vilnius;12;Sodas
213;Antakalnis;Mileišiškių Sodų 7-oji g. ;Vilnius;9;Sodas
214;Antakalnis;Mileišiškių Sodų 8-oji g. ;Vilnius;24;Sodas
215;Antakalnis;Mileišiškių Sodų 9-oji g. ;Vilnius;5;Sodas
216;Antakalnis;Miškadvario g. ;Vilnius;24;Kitas
217;Antakalnis;Miškininkų g. ;Vilnius;10;Kitas
218;Antakalnis;Moliakalnio g. ;Vilnius;88;Kitas
219;Antakalnis;Nakvišų g. ;Vilnius;16;Kitas
220;Antakalnis;Naujakurių g. ;Vilnius;45;Kitas
221;Antakalnis;Nemenčinės pl. ;Vilnius;160;Kitas
222;Antakalnis;Nugalėtojų g. ;Vilnius;94;Kitas
223;Antakalnis;O. Milašiaus g. ;Vilnius;7;Kitas
224;Antakalnis;Olandų g. ;Vilnius;12 iš 41;Kitas
225;Antakalnis;P. Vileišio g. ;Vilnius;50;Kitas
226;Antakalnis;Paliuliškių g. ;Vilnius;15;Kitas
227;Antakalnis;Pasakų g. ;Vilnius;15;Kitas
228;Antakalnis;Pauliaus Širvio g. ;Vilnius;5;Kitas
229;Antakalnis;Pavasario g. ;Vilnius;40;Kitas
230;Antakalnis;Pečiukų g. ;Vilnius;3;Kitas
231;Antakalnis;Pelynų g. ;Vilnius;8;Kitas
232;Antakalnis;Petro Rimšos g. ;Vilnius;26;Kitas
233;Antakalnis;Pienių g. ;Vilnius;16;Kitas
234;Antakalnis;Pylimėlių g. ;Vilnius;69;Kitas
235;Antakalnis;Plytinės g. ;Vilnius;37;Kitas
236;Antakalnis;Plukių g. ;Vilnius;14;Kitas
237;Antakalnis;Povilo Snarskio g. ;Vilnius;11;Kitas
238;Antakalnis;Pragiedrulių g. ;Vilnius;25;Kitas
239;Antakalnis;Pragiedrulių Sodų 1-oji g. ;Vilnius;14;Sodas
240;Antakalnis;Pragiedrulių Sodų 2-oji g. ;Vilnius;4;Sodas
241;Antakalnis;Pragiedrulių Sodų 3-ioji g. ;Vilnius;7;Sodas
242;Antakalnis;Pragiedrulių Sodų 4-oji g. ;Vilnius;7;Sodas
243;Antakalnis;Pragiedrulių Sodų 5-oji g. ;Vilnius;18;Sodas
244;Antakalnis;Pragiedrulių Sodų 6-oji g. ;Vilnius;23;Sodas
245;Antakalnis;Pragiedrulių Sodų 7-oji g. ;Vilnius;30;Sodas
246;Antakalnis;Prano Morkūno g. ;Vilnius;12;Kitas
247;Antakalnis;Puodžių g. ;Vilnius;1;Kitas
248;Antakalnis;Pupojų g. ;Vilnius;43;Kitas
249;Antakalnis;Pupojų Sodų g. ;Vilnius;6;Sodas
250;Antakalnis;Pupojų Sodų 1-oji g. ;Vilnius;24;Sodas
251;Antakalnis;Pupojų Sodų 10-oji g. ;Vilnius;14;Sodas
252;Antakalnis;Pupojų Sodų 11-oji g. ;Vilnius;7;Sodas
253;Antakalnis;Pupojų Sodų 12-oji g. ;Vilnius;14;Sodas
254;Antakalnis;Pupojų Sodų 13-oji g. ;Vilnius;10;Sodas
255;Antakalnis;Pupojų Sodų 14-oji g. ;Vilnius;9;Sodas
256;Antakalnis;Pupojų Sodų 15-oji g. ;Vilnius;16;Sodas
257;Antakalnis;Pupojų Sodų 16-oji g. ;Vilnius;21;Sodas
258;Antakalnis;Pupojų Sodų 2-oji g. ;Vilnius;33;Sodas
259;Antakalnis;Pupojų Sodų 3-ioji g. ;Vilnius;39;Sodas
260;Antakalnis;Pupojų Sodų 4-oji g. ;Vilnius;32;Sodas
261;Antakalnis;Pupojų Sodų 5-oji g. ;Vilnius;34;Sodas
262;Antakalnis;Pupojų Sodų 6-oji g. ;Vilnius;34;Sodas
263;Antakalnis;Pupojų Sodų 7-oji g. ;Vilnius;21;Sodas
264;Antakalnis;Pupojų Sodų 8-oji g. ;Vilnius;19;Sodas
265;Antakalnis;Pupojų Sodų 9-oji g. ;Vilnius;6;Sodas
