id;street;purpose;area;area_useful;year;year_renov;renov_status;efficiency;no_flats;not_living_flats;land;house
3735;Pramonėsg.;Gyvenamoji (trys ir daugiau butų);193.46;193.46;1940.0;;Nerenovuotas;;3.0;0.0;0.0;10
3736;Pramonėsg.;Gyvenamoji (trys ir daugiau butų);436.1;250.94;1940.0;;Nerenovuotas;;5.0;1.0;0.0;12
3737;Pramonėsg.;Gyvenamoji (trys ir daugiau butų);172.48;172.48;1940.0;;Nerenovuotas;;4.0;0.0;0.13;127
3738;Pramonėsg.;Gyvenamoji (trys ir daugiau butų);130.82;130.82;1940.0;;Nerenovuotas;;3.0;0.0;0.0;12A
3739;Pramonėsg.;Gyvenamoji (trys ir daugiau butų);117.78;117.78;1993.0;;Nerenovuotas;;3.0;0.0;0.0;158
3740;Pramonėsg.;Gyvenamoji (trys ir daugiau butų);91.4;91.4;1940.0;;Nerenovuotas;;3.0;0.0;0.0;169
3741;Pramonėsg.;Gyvenamoji (trys ir daugiau butų);265.97;216.58;1953.0;;Nerenovuotas;;4.0;0.0;0.0;17
3742;Pramonėsg.;Gyvenamoji (trys ir daugiau butų);180.45;180.45;1940.0;;Nerenovuotas;;3.0;0.0;0.0;189
3743;Pramonėsg.;Gyvenamoji (trys ir daugiau butų);233.3;229.56;1940.0;;Nerenovuotas;;5.0;0.0;0.0;19
3744;Pramonėsg.;Gyvenamoji (trys ir daugiau butų);268.93;268.93;1940.0;;Nerenovuotas;;6.0;0.0;0.11;21
3745;Pramonėsg.;Gyvenamoji (trys ir daugiau butų);145.15;117.82;1940.0;;Nerenovuotas;;3.0;0.0;0.0;22
3746;Pramonėsg.;Gyvenamoji (trys ir daugiau butų);459.77;383.3;1953.0;;Nerenovuotas;;8.0;0.0;0.0;25
3747;Pramonėsg.;Gyvenamoji (trys ir daugiau butų);126.1;126.1;1940.0;;Nerenovuotas;;4.0;0.0;0.0;33
3748;Pramonėsg.;Gyvenamoji (trys ir daugiau butų);419.31;346.82;1940.0;;Nerenovuotas;;8.0;0.0;0.0;53
3749;Pramonėsg.;Gyvenamoji (trys ir daugiau butų);210.64;182.65;1940.0;;Nerenovuotas;;3.0;0.0;0.13;55
3750;Pramonėsg.;Gyvenamoji (trys ir daugiau butų);199.52;199.52;1940.0;;Nerenovuotas;;5.0;0.0;0.0;59
3751;Pramonėsg.;Gyvenamoji (trys ir daugiau butų);112.35;112.35;1940.0;;Nerenovuotas;;3.0;0.0;0.0;8
3752;Pūčkoriųg.;Gyvenamoji (trys ir daugiau butų);247.51;247.51;1940.0;;Nerenovuotas;;4.0;0.0;0.2;10
3753;Pūčkoriųg.;Gyvenamoji (trys ir daugiau butų);270.13;252.98;1940.0;;Nerenovuotas;;4.0;0.0;0.16;13
3754;Pūčkoriųg.;Gyvenamoji (trys ir daugiau butų);202.14;202.14;1940.0;;Nerenovuotas;;4.0;0.0;0.23;14
3755;Rytųg.;Gyvenamoji (trys ir daugiau butų);120.58;98.59;1940.0;;Nerenovuotas;;4.0;0.0;0.14;37
3756;Rugiagėliųg.;Gyvenamoji (trys ir daugiau butų);134.5;134.5;1940.0;;Nerenovuotas;;4.0;0.0;0.0;10
3757;Rugiagėliųg.;Gyvenamoji (trys ir daugiau butų);93.92;93.92;1940.0;;Nerenovuotas;;3.0;0.0;0.1;16
3758;Rugiagėliųg.;Gyvenamoji (trys ir daugiau butų);163.04;138.3;1940.0;;Nerenovuotas;;4.0;0.0;0.0;20
3759;Rugiagėliųg.;Gyvenamoji (trys ir daugiau butų);147.52;147.52;1940.0;;Nerenovuotas;;3.0;0.0;0.0;5
3760;S.Batorog.;Gyvenamoji (trys ir daugiau butų);156.34;156.34;1933.0;;Nerenovuotas;;4.0;0.0;0.0;148
3761;S.Batorog.;Gyvenamoji (trys ir daugiau butų);258.45;258.45;1940.0;;Nerenovuotas;;5.0;0.0;0.25;152
3762;S.Batorog.;Gyvenamoji (trys ir daugiau butų);340.47;330.35;1940.0;;Nerenovuotas;;7.0;1.0;0.0;158
3763;S.Batorog.;Gyvenamoji (trys ir daugiau butų);840.73;725.65;1957.0;;Nerenovuotas;;33.0;1.0;0.0;15A
3764;S.Batorog.;Gyvenamoji (trys ir daugiau butų);101.87;101.87;1940.0;;Nerenovuotas;;3.0;0.0;0.08;164
3765;S.Batorog.;Gyvenamoji (trys ir daugiau butų);100.95;100.95;1940.0;;Nerenovuotas;;3.0;0.0;0.13;25
3766;Šiaurėsg.;Gyvenamoji (trys ir daugiau butų);946.47;839.21;1954.0;;Nerenovuotas;;13.0;0.0;0.0;12
3767;Šiaurėsg.;Gyvenamoji (trys ir daugiau butų);1276.97;840.74;1953.0;;Nerenovuotas;;13.0;0.0;0.0;14
3768;Šiaurėsg.;Gyvenamoji (trys ir daugiau butų);146.09;146.09;1940.0;;Nerenovuotas;;3.0;0.0;0.13;22
3769;Šiaurėsg.;Gyvenamoji (trys ir daugiau butų);412.5;364.98;1960.0;;Nerenovuotas;;8.0;0.0;0.0;3A
3770;Šiaurėsg.;Gyvenamoji (trys ir daugiau butų);613.4;539.13;1962.0;;Nerenovuotas;;12.0;0.0;0.0;8A
3771;Šiaurėsg.;Gyvenamoji (trys ir daugiau butų);5017.0;374.33;1960.0;;Nerenovuotas;;8.0;1.0;0.0;9
3772;Širšiųg.;Gyvenamoji (trys ir daugiau butų);229.38;229.38;1983.0;;Nerenovuotas;;3.0;0.0;0.23;3
3773;Skardžiog.;Gyvenamoji (trys ir daugiau butų);519.03;331.13;1959.0;;Nerenovuotas;;6.0;0.0;0.0;1
3774;Skardžiog.;Gyvenamoji (trys ir daugiau butų);105.94;105.94;1940.0;;Nerenovuotas;;3.0;0.0;0.0;15
3775;Skydog.;Gyvenamoji (trys ir daugiau butų);167.31;105.01;1940.0;;Nerenovuotas;;3.0;0.0;0.0;14
3776;Skydog.;Gyvenamoji (trys ir daugiau butų);124.63;124.63;1940.0;;Nerenovuotas;;3.0;0.0;0.15;18
3777;Skydog.;Gyvenamoji (trys ir daugiau butų);80.19;80.19;1940.0;;Nerenovuotas;;3.0;0.0;0.09;34
3778;Skydog.;Gyvenamoji (trys ir daugiau butų);408.53;408.53;1940.0;;Nerenovuotas;;12.0;0.0;0.0;44
3779;Sodeliųg.;Gyvenamoji (trys ir daugiau butų);131.87;131.87;1940.0;;Nerenovuotas;;4.0;0.0;0.2;7
3780;Strielčiukųg.;Gyvenamoji (trys ir daugiau butų);269.87;269.87;1971.0;;Nerenovuotas;;9.0;0.0;0.3;19
3781;Strielčiukųg.;Gyvenamoji (trys ir daugiau butų);115.57;115.57;1940.0;;Nerenovuotas;;3.0;0.0;0.2;21
3782;Strielčiukųg.;Gyvenamoji (trys ir daugiau butų);139.65;139.65;1940.0;;Nerenovuotas;;5.0;0.0;0.2;27
3783;Strielčiukųg.;Gyvenamoji (trys ir daugiau butų);123.63;123.63;1940.0;;Nerenovuotas;;3.0;0.0;0.0;6
3784;Strielčiukųg.;Gyvenamoji (trys ir daugiau butų);89.3;89.3;1940.0;;Nerenovuotas;;3.0;0.0;0.2;7
3785;Švariojig.;Gyvenamoji (trys ir daugiau butų);223.2;197.72;1940.0;;Nerenovuotas;;4.0;0.0;0.22;1
3786;Takog.;Gyvenamoji (trys ir daugiau butų);104.86;104.86;1940.0;;Nerenovuotas;;3.0;0.0;0.0;16
3787;Takog.;Gyvenamoji (trys ir daugiau butų);190.49;190.49;1940.0;;Nerenovuotas;;3.0;0.0;0.0;3
3788;Takog.;Gyvenamoji (trys ir daugiau butų);94.98;94.98;1940.0;;Nerenovuotas;;3.0;0.0;0.06;7
3789;Tolimojig.;Gyvenamoji (trys ir daugiau butų);229.26;229.26;1940.0;;Nerenovuotas;;3.0;0.0;0.39;15
3790;Tolimojig.;Gyvenamoji (trys ir daugiau butų);171.12;171.12;1940.0;;Nerenovuotas;;4.0;0.0;0.38;5
3791;Topoliųg.;Gyvenamoji (trys ir daugiau butų);118.93;118.93;1940.0;;Nerenovuotas;;4.0;0.0;0.2;7
3792;Topoliųg.;Gyvenamoji (trys ir daugiau butų);180.56;180.56;1940.0;;Nerenovuotas;;4.0;0.0;0.11;9
3793;Tremtiniųg.;Gyvenamoji (trys ir daugiau butų);282.12;265.42;1940.0;;Nerenovuotas;;7.0;0.0;0.0;16
3794;Tremtiniųg.;Gyvenamoji (trys ir daugiau butų);321.36;280.72;1940.0;;Nerenovuotas;;6.0;1.0;0.0;2
3795;Tremtiniųg.;Gyvenamoji (trys ir daugiau butų);264.71;264.71;1940.0;;Nerenovuotas;;5.0;0.0;0.0;8
3796;Tuputiškiųg.;Gyvenamoji (trys ir daugiau butų);130.59;130.59;1940.0;;Nerenovuotas;;3.0;0.0;0.27;20
3797;Tuputiškiųg.;Gyvenamoji (trys ir daugiau butų);180.26;180.26;1940.0;;Nerenovuotas;;4.0;0.0;0.39;22
3798;Tuputiškiųg.;Gyvenamoji (trys ir daugiau butų);134.56;134.56;1940.0;;Nerenovuotas;;4.0;0.0;0.22;26
3799;Tuputiškiųg.;Gyvenamoji (trys ir daugiau butų);154.04;145.2;1940.0;;Nerenovuotas;;3.0;0.0;0.2;38
3800;Tuputiškiųg.;Gyvenamoji (trys ir daugiau butų);211.83;211.83;1940.0;;Nerenovuotas;;5.0;0.0;0.0;64
3801;Tuputiškiųg.;Gyvenamoji (trys ir daugiau butų);304.61;287.51;1940.0;;Nerenovuotas;;7.0;0.0;0.0;66
3802;UosiųSodų14-ojig.;Gyvenamoji (trys ir daugiau butų);129.04;129.04;1940.0;;Nerenovuotas;;3.0;0.0;0.2;11
3803;Užkiemiog.;Gyvenamoji (trys ir daugiau butų);148.36;142.41;1940.0;;Nerenovuotas;;3.0;0.0;0.2;6
3804;Užtvankosg.;Gyvenamoji (trys ir daugiau butų);356.11;314.61;1940.0;;Nerenovuotas;;8.0;1.0;0.42;2
3805;Užtvankosg.;Gyvenamoji (trys ir daugiau butų);207.67;207.67;1940.0;;Nerenovuotas;;5.0;0.0;0.2;4
3806;Užtvankosg.;Gyvenamoji (trys ir daugiau butų);405.58;375.14;1940.0;;Nerenovuotas;;9.0;1.0;0.0;5
3807;V.Sirokomlėsg.;Gyvenamoji (trys ir daugiau butų);139.93;139.93;1940.0;;Nerenovuotas;;3.0;0.0;0.21;10
3808;V.Sirokomlėsg.;Gyvenamoji (trys ir daugiau butų);141.89;141.89;1940.0;;Nerenovuotas;;3.0;0.0;0.1;11
3809;V.Sirokomlėsg.;Gyvenamoji (trys ir daugiau butų);211.3;211.3;1940.0;;Nerenovuotas;;4.0;0.0;0.2;20
3810;V.Sirokomlėsg.;Gyvenamoji (trys ir daugiau butų);251.26;158.2;1941.0;;Nerenovuotas;;4.0;0.0;0.15;22
3811;V.Sirokomlėsg.;Gyvenamoji (trys ir daugiau butų);207.98;207.98;1940.0;;Nerenovuotas;;3.0;0.0;0.13;24
3812;V.Sirokomlėsg.;Gyvenamoji (trys ir daugiau butų);113.55;113.55;1940.0;;Nerenovuotas;;3.0;0.0;0.18;26
3813;V.Sirokomlėsg.;Gyvenamoji (trys ir daugiau butų);197.17;197.17;1940.0;;Nerenovuotas;;3.0;0.0;0.2;4
