year;permanent_residents;permanent_residents_value;median_age;Lytis_Moterys;Lytis_Vyrai;population_density;population_density_measure;population_density_value;useful_area;useful_area_measure;useful_area_value;average_housing;average_housing_measure;average_housing_value;neto_migration;neto_migration_measure;neto_migration_value;unemployment;unemployment_measure;unemployment_value;country;area;district;municipality
2018;Nuolatinių gyventojų skaičius metų pradžioje;17097.0;Medianinis gyventojų amžius metų pradžioje;51.0;45.0;Gyventojų tankis metų pradžioje;viename km²;15.8;Naudingasis plotas, tenkantis vienam gyventojui;m²;44.6;Vidutinis būsto dydis;m²;73.0;Neto migracija;asmenys;-162.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;12.9;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Kupiškio r. sav.
2001;Nuolatinių gyventojų skaičius metų pradžioje;119808.0;Medianinis gyventojų amžius metų pradžioje;38.0;33.0;Gyventojų tankis metų pradžioje;viename km²;2396.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;22.9;Vidutinis būsto dydis;m²;54.3;Neto migracija;asmenys;-1337.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;13.9;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio m. sav.
2002;Nuolatinių gyventojų skaičius metų pradžioje;118231.0;Medianinis gyventojų amžius metų pradžioje;38.0;34.0;Gyventojų tankis metų pradžioje;viename km²;2364.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;20.6;Vidutinis būsto dydis;m²;54.3;Neto migracija;asmenys;-1142.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;12.3;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio m. sav.
2003;Nuolatinių gyventojų skaičius metų pradžioje;116925.0;Medianinis gyventojų amžius metų pradžioje;39.0;34.0;Gyventojų tankis metų pradžioje;viename km²;2338.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;20.9;Vidutinis būsto dydis;m²;54.3;Neto migracija;asmenys;-1795.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;9.2;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio m. sav.
2004;Nuolatinių gyventojų skaičius metų pradžioje;114917.0;Medianinis gyventojų amžius metų pradžioje;40.0;35.0;Gyventojų tankis metų pradžioje;viename km²;2298.3;Naudingasis plotas, tenkantis vienam gyventojui;m²;21.4;Vidutinis būsto dydis;m²;54.3;Neto migracija;asmenys;-2131.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;6.9;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio m. sav.
2005;Nuolatinių gyventojų skaičius metų pradžioje;112543.0;Medianinis gyventojų amžius metų pradžioje;40.0;35.0;Gyventojų tankis metų pradžioje;viename km²;2250.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;21.9;Vidutinis būsto dydis;m²;54.5;Neto migracija;asmenys;-2393.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;4.7;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio m. sav.
2006;Nuolatinių gyventojų skaičius metų pradžioje;109901.0;Medianinis gyventojų amžius metų pradžioje;41.0;36.0;Gyventojų tankis metų pradžioje;viename km²;2198.0;Naudingasis plotas, tenkantis vienam gyventojui;m²;24.1;Vidutinis būsto dydis;m²;57.2;Neto migracija;asmenys;-1317.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;4.6;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio m. sav.
2007;Nuolatinių gyventojų skaičius metų pradžioje;108314.0;Medianinis gyventojų amžius metų pradžioje;42.0;37.0;Gyventojų tankis metų pradžioje;viename km²;2166.3;Naudingasis plotas, tenkantis vienam gyventojui;m²;24.5;Vidutinis būsto dydis;m²;57.4;Neto migracija;asmenys;-1446.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;4.0;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio m. sav.
2008;Nuolatinių gyventojų skaičius metų pradžioje;106495.0;Medianinis gyventojų amžius metų pradžioje;43.0;37.0;Gyventojų tankis metų pradžioje;viename km²;2129.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;23.6;Vidutinis būsto dydis;m²;56.8;Neto migracija;asmenys;-1375.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;4.0;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio m. sav.
2009;Nuolatinių gyventojų skaičius metų pradžioje;104793.0;Medianinis gyventojų amžius metų pradžioje;43.0;38.0;Gyventojų tankis metų pradžioje;viename km²;2095.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;25.0;Vidutinis būsto dydis;m²;58.2;Neto migracija;asmenys;-1460.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;13.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio m. sav.
2010;Nuolatinių gyventojų skaičius metų pradžioje;103101.0;Medianinis gyventojų amžius metų pradžioje;44.0;38.0;Gyventojų tankis metų pradžioje;viename km²;2062.0;Naudingasis plotas, tenkantis vienam gyventojui;m²;25.8;Vidutinis būsto dydis;m²;58.2;Neto migracija;asmenys;-2681.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;18.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio m. sav.
2011;Nuolatinių gyventojų skaičius metų pradžioje;100027.0;Medianinis gyventojų amžius metų pradžioje;46.0;39.0;Gyventojų tankis metų pradžioje;viename km²;2000.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;26.4;Vidutinis būsto dydis;m²;58.6;Neto migracija;asmenys;-1230.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;14.9;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio m. sav.
2012;Nuolatinių gyventojų skaičius metų pradžioje;98469.0;Medianinis gyventojų amžius metų pradžioje;46.0;39.0;Gyventojų tankis metų pradžioje;viename km²;1969.4;Naudingasis plotas, tenkantis vienam gyventojui;m²;26.7;Vidutinis būsto dydis;m²;58.6;Neto migracija;asmenys;-783.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;12.8;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio m. sav.
2013;Nuolatinių gyventojų skaičius metų pradžioje;97343.0;Medianinis gyventojų amžius metų pradžioje;47.0;40.0;Gyventojų tankis metų pradžioje;viename km²;1946.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;27.0;Vidutinis būsto dydis;m²;58.6;Neto migracija;asmenys;-697.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;11.1;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio m. sav.
2014;Nuolatinių gyventojų skaičius metų pradžioje;96328.0;Medianinis gyventojų amžius metų pradžioje;47.0;40.0;Gyventojų tankis metų pradžioje;viename km²;1926.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;27.4;Vidutinis būsto dydis;m²;58.5;Neto migracija;asmenys;-909.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;10.1;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio m. sav.
2015;Nuolatinių gyventojų skaičius metų pradžioje;95202.0;Medianinis gyventojų amžius metų pradžioje;48.0;40.0;Gyventojų tankis metų pradžioje;viename km²;1904.0;Naudingasis plotas, tenkantis vienam gyventojui;m²;28.0;Vidutinis būsto dydis;m²;58.7;Neto migracija;asmenys;-1314.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;8.6;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio m. sav.
2016;Nuolatinių gyventojų skaičius metų pradžioje;93598.0;Medianinis gyventojų amžius metų pradžioje;49.0;41.0;Gyventojų tankis metų pradžioje;viename km²;1872.0;Naudingasis plotas, tenkantis vienam gyventojui;m²;29.0;Vidutinis būsto dydis;m²;58.9;Neto migracija;asmenys;-2110.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;7.4;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio m. sav.
2017;Nuolatinių gyventojų skaičius metų pradžioje;91054.0;Medianinis gyventojų amžius metų pradžioje;49.0;41.0;Gyventojų tankis metų pradžioje;viename km²;1821.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;29.9;Vidutinis būsto dydis;m²;58.9;Neto migracija;asmenys;-1975.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;7.0;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio m. sav.
2018;Nuolatinių gyventojų skaičius metų pradžioje;88678.0;Medianinis gyventojų amžius metų pradžioje;50.0;42.0;Gyventojų tankis metų pradžioje;viename km²;1773.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;30.5;Vidutinis būsto dydis;m²;59.0;Neto migracija;asmenys;-1100.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;7.2;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio m. sav.
2001;Nuolatinių gyventojų skaičius metų pradžioje;42886.0;Medianinis gyventojų amžius metų pradžioje;39.0;35.0;Gyventojų tankis metų pradžioje;viename km²;19.7;Naudingasis plotas, tenkantis vienam gyventojui;m²;27.2;Vidutinis būsto dydis;m²;71.4;Neto migracija;asmenys;-55.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;18.7;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio r. sav.
2002;Nuolatinių gyventojų skaičius metų pradžioje;42628.0;Medianinis gyventojų amžius metų pradžioje;40.0;35.0;Gyventojų tankis metų pradžioje;viename km²;19.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;27.2;Vidutinis būsto dydis;m²;71.4;Neto migracija;asmenys;219.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;18.8;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio r. sav.
2003;Nuolatinių gyventojų skaičius metų pradžioje;42657.0;Medianinis gyventojų amžius metų pradžioje;40.0;35.0;Gyventojų tankis metų pradžioje;viename km²;19.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;27.7;Vidutinis būsto dydis;m²;71.4;Neto migracija;asmenys;135.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;14.3;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio r. sav.
2004;Nuolatinių gyventojų skaičius metų pradžioje;42588.0;Medianinis gyventojų amžius metų pradžioje;41.0;35.5;Gyventojų tankis metų pradžioje;viename km²;19.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;27.7;Vidutinis būsto dydis;m²;71.4;Neto migracija;asmenys;-9.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;11.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio r. sav.
2005;Nuolatinių gyventojų skaičius metų pradžioje;42435.0;Medianinis gyventojų amžius metų pradžioje;41.0;36.0;Gyventojų tankis metų pradžioje;viename km²;19.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;28.1;Vidutinis būsto dydis;m²;71.5;Neto migracija;asmenys;-352.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;7.9;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio r. sav.
2006;Nuolatinių gyventojų skaičius metų pradžioje;41930.0;Medianinis gyventojų amžius metų pradžioje;42.0;36.0;Gyventojų tankis metų pradžioje;viename km²;19.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;28.4;Vidutinis būsto dydis;m²;71.6;Neto migracija;asmenys;-108.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;5.4;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio r. sav.
2007;Nuolatinių gyventojų skaičius metų pradžioje;41573.0;Medianinis gyventojų amžius metų pradžioje;42.0;37.0;Gyventojų tankis metų pradžioje;viename km²;19.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;29.0;Vidutinis būsto dydis;m²;72.0;Neto migracija;asmenys;-168.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;4.9;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio r. sav.
2008;Nuolatinių gyventojų skaičius metų pradžioje;41162.0;Medianinis gyventojų amžius metų pradžioje;42.0;37.0;Gyventojų tankis metų pradžioje;viename km²;18.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;29.1;Vidutinis būsto dydis;m²;72.2;Neto migracija;asmenys;96.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;4.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio r. sav.
2009;Nuolatinių gyventojų skaičius metų pradžioje;40980.0;Medianinis gyventojų amžius metų pradžioje;43.0;37.0;Gyventojų tankis metų pradžioje;viename km²;18.8;Naudingasis plotas, tenkantis vienam gyventojui;m²;34.3;Vidutinis būsto dydis;m²;73.4;Neto migracija;asmenys;-368.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;12.7;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio r. sav.
2010;Nuolatinių gyventojų skaičius metų pradžioje;40377.0;Medianinis gyventojų amžius metų pradžioje;43.0;37.0;Gyventojų tankis metų pradžioje;viename km²;18.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;35.5;Vidutinis būsto dydis;m²;73.5;Neto migracija;asmenys;-966.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;19.3;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio r. sav.
2011;Nuolatinių gyventojų skaičius metų pradžioje;39164.0;Medianinis gyventojų amžius metų pradžioje;44.0;39.0;Gyventojų tankis metų pradžioje;viename km²;18.0;Naudingasis plotas, tenkantis vienam gyventojui;m²;37.4;Vidutinis būsto dydis;m²;74.2;Neto migracija;asmenys;-519.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;15.9;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio r. sav.
2012;Nuolatinių gyventojų skaičius metų pradžioje;38392.0;Medianinis gyventojų amžius metų pradžioje;45.0;40.0;Gyventojų tankis metų pradžioje;viename km²;17.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;38.0;Vidutinis būsto dydis;m²;74.2;Neto migracija;asmenys;-355.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;14.3;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio r. sav.
2013;Nuolatinių gyventojų skaičius metų pradžioje;37867.0;Medianinis gyventojų amžius metų pradžioje;46.0;41.0;Gyventojų tankis metų pradžioje;viename km²;17.4;Naudingasis plotas, tenkantis vienam gyventojui;m²;38.4;Vidutinis būsto dydis;m²;74.2;Neto migracija;asmenys;-207.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;12.0;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio r. sav.
2014;Nuolatinių gyventojų skaičius metų pradžioje;37488.0;Medianinis gyventojų amžius metų pradžioje;46.0;41.0;Gyventojų tankis metų pradžioje;viename km²;17.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;39.9;Vidutinis būsto dydis;m²;74.6;Neto migracija;asmenys;-177.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;10.8;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio r. sav.
2015;Nuolatinių gyventojų skaičius metų pradžioje;37173.0;Medianinis gyventojų amžius metų pradžioje;47.0;41.0;Gyventojų tankis metų pradžioje;viename km²;17.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;40.9;Vidutinis būsto dydis;m²;74.8;Neto migracija;asmenys;-240.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;9.7;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio r. sav.
2016;Nuolatinių gyventojų skaičius metų pradžioje;36705.0;Medianinis gyventojų amžius metų pradžioje;47.0;42.0;Gyventojų tankis metų pradžioje;viename km²;16.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;41.9;Vidutinis būsto dydis;m²;75.1;Neto migracija;asmenys;-61.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;8.6;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio r. sav.
2017;Nuolatinių gyventojų skaičius metų pradžioje;36417.0;Medianinis gyventojų amžius metų pradžioje;48.0;42.0;Gyventojų tankis metų pradžioje;viename km²;16.7;Naudingasis plotas, tenkantis vienam gyventojui;m²;43.4;Vidutinis būsto dydis;m²;75.5;Neto migracija;asmenys;-424.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;8.2;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio r. sav.
2018;Nuolatinių gyventojų skaičius metų pradžioje;35734.0;Medianinis gyventojų amžius metų pradžioje;48.0;43.0;Gyventojų tankis metų pradžioje;viename km²;16.4;Naudingasis plotas, tenkantis vienam gyventojui;m²;44.0;Vidutinis būsto dydis;m²;75.6;Neto migracija;asmenys;-85.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;8.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Panevėžio r. sav.
2001;Nuolatinių gyventojų skaičius metų pradžioje;34980.0;Medianinis gyventojų amžius metų pradžioje;39.0;33.0;Gyventojų tankis metų pradžioje;viename km²;27.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;27.7;Vidutinis būsto dydis;m²;70.6;Neto migracija;asmenys;-331.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;22.2;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Pasvalio r. sav.
2002;Nuolatinių gyventojų skaičius metų pradžioje;34569.0;Medianinis gyventojų amžius metų pradžioje;39.0;34.0;Gyventojų tankis metų pradžioje;viename km²;26.8;Naudingasis plotas, tenkantis vienam gyventojui;m²;28.0;Vidutinis būsto dydis;m²;70.6;Neto migracija;asmenys;-170.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;22.1;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Pasvalio r. sav.
2003;Nuolatinių gyventojų skaičius metų pradžioje;34211.0;Medianinis gyventojų amžius metų pradžioje;40.0;34.0;Gyventojų tankis metų pradžioje;viename km²;26.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;28.5;Vidutinis būsto dydis;m²;70.6;Neto migracija;asmenys;-461.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;18.7;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Pasvalio r. sav.
2004;Nuolatinių gyventojų skaičius metų pradžioje;33629.0;Medianinis gyventojų amžius metų pradžioje;40.0;35.0;Gyventojų tankis metų pradžioje;viename km²;26.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;29.3;Vidutinis būsto dydis;m²;70.6;Neto migracija;asmenys;-543.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;14.1;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Pasvalio r. sav.
2005;Nuolatinių gyventojų skaičius metų pradžioje;32870.0;Medianinis gyventojų amžius metų pradžioje;41.0;35.0;Gyventojų tankis metų pradžioje;viename km²;25.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;30.3;Vidutinis būsto dydis;m²;70.8;Neto migracija;asmenys;-730.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;10.4;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Pasvalio r. sav.
2006;Nuolatinių gyventojų skaičius metų pradžioje;31898.0;Medianinis gyventojų amžius metų pradžioje;42.0;36.0;Gyventojų tankis metų pradžioje;viename km²;24.7;Naudingasis plotas, tenkantis vienam gyventojui;m²;31.4;Vidutinis būsto dydis;m²;70.8;Neto migracija;asmenys;-433.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;7.4;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Pasvalio r. sav.
2007;Nuolatinių gyventojų skaičius metų pradžioje;31230.0;Medianinis gyventojų amžius metų pradžioje;42.0;36.0;Gyventojų tankis metų pradžioje;viename km²;24.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;32.0;Vidutinis būsto dydis;m²;70.8;Neto migracija;asmenys;-375.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;5.7;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Pasvalio r. sav.
2008;Nuolatinių gyventojų skaičius metų pradžioje;30598.0;Medianinis gyventojų amžius metų pradžioje;42.0;36.0;Gyventojų tankis metų pradžioje;viename km²;23.7;Naudingasis plotas, tenkantis vienam gyventojui;m²;32.4;Vidutinis būsto dydis;m²;71.1;Neto migracija;asmenys;-294.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;5.3;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Pasvalio r. sav.
2009;Nuolatinių gyventojų skaičius metų pradžioje;30004.0;Medianinis gyventojų amžius metų pradžioje;43.0;36.0;Gyventojų tankis metų pradžioje;viename km²;23.3;Naudingasis plotas, tenkantis vienam gyventojui;m²;30.9;Vidutinis būsto dydis;m²;73.0;Neto migracija;asmenys;-403.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;11.6;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Pasvalio r. sav.
2010;Nuolatinių gyventojų skaičius metų pradžioje;29400.0;Medianinis gyventojų amžius metų pradžioje;43.0;37.0;Gyventojų tankis metų pradžioje;viename km²;22.8;Naudingasis plotas, tenkantis vienam gyventojui;m²;31.9;Vidutinis būsto dydis;m²;73.0;Neto migracija;asmenys;-650.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;18.3;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Pasvalio r. sav.
2011;Nuolatinių gyventojų skaičius metų pradžioje;28511.0;Medianinis gyventojų amžius metų pradžioje;45.0;39.0;Gyventojų tankis metų pradžioje;viename km²;22.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;33.4;Vidutinis būsto dydis;m²;73.4;Neto migracija;asmenys;-502.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;16.8;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Pasvalio r. sav.
2012;Nuolatinių gyventojų skaičius metų pradžioje;27752.0;Medianinis gyventojų amžius metų pradžioje;46.0;40.0;Gyventojų tankis metų pradžioje;viename km²;21.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;34.1;Vidutinis būsto dydis;m²;73.4;Neto migracija;asmenys;-290.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;15.8;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Pasvalio r. sav.
2013;Nuolatinių gyventojų skaičius metų pradžioje;27245.0;Medianinis gyventojų amžius metų pradžioje;46.0;40.0;Gyventojų tankis metų pradžioje;viename km²;21.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;34.9;Vidutinis būsto dydis;m²;73.4;Neto migracija;asmenys;-412.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;14.7;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Pasvalio r. sav.
2014;Nuolatinių gyventojų skaičius metų pradžioje;26653.0;Medianinis gyventojų amžius metų pradžioje;47.0;41.0;Gyventojų tankis metų pradžioje;viename km²;20.7;Naudingasis plotas, tenkantis vienam gyventojui;m²;36.3;Vidutinis būsto dydis;m²;73.8;Neto migracija;asmenys;-256.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;13.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Pasvalio r. sav.
2015;Nuolatinių gyventojų skaičius metų pradžioje;26213.0;Medianinis gyventojų amžius metų pradžioje;47.0;41.0;Gyventojų tankis metų pradžioje;viename km²;20.3;Naudingasis plotas, tenkantis vienam gyventojui;m²;37.2;Vidutinis būsto dydis;m²;73.8;Neto migracija;asmenys;-407.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;13.1;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Pasvalio r. sav.
2016;Nuolatinių gyventojų skaičius metų pradžioje;25601.0;Medianinis gyventojų amžius metų pradžioje;48.0;41.0;Gyventojų tankis metų pradžioje;viename km²;19.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;38.5;Vidutinis būsto dydis;m²;73.9;Neto migracija;asmenys;-631.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;12.1;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Pasvalio r. sav.
2017;Nuolatinių gyventojų skaičius metų pradžioje;24796.0;Medianinis gyventojų amžius metų pradžioje;49.0;42.0;Gyventojų tankis metų pradžioje;viename km²;19.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;40.1;Vidutinis būsto dydis;m²;73.9;Neto migracija;asmenys;-593.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;11.2;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Pasvalio r. sav.
2018;Nuolatinių gyventojų skaičius metų pradžioje;23967.0;Medianinis gyventojų amžius metų pradžioje;50.0;43.0;Gyventojų tankis metų pradžioje;viename km²;18.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;41.2;Vidutinis būsto dydis;m²;74.0;Neto migracija;asmenys;-374.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;11.4;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Panevėžio apskritis;Pasvalio r. sav.
