year;permanent_residents;permanent_residents_value;median_age;Lytis_Moterys;Lytis_Vyrai;population_density;population_density_measure;population_density_value;useful_area;useful_area_measure;useful_area_value;average_housing;average_housing_measure;average_housing_value;neto_migration;neto_migration_measure;neto_migration_value;unemployment;unemployment_measure;unemployment_value;country;area;district;municipality
2010;Nuolatinių gyventojų skaičius metų pradžioje;8981.0;Medianinis gyventojų amžius metų pradžioje;42.0;35.0;Gyventojų tankis metų pradžioje;viename km²;15.3;Naudingasis plotas, tenkantis vienam gyventojui;m²;27.8;Vidutinis būsto dydis;m²;76.3;Neto migracija;asmenys;-195.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;17.3;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Rietavo sav.
2011;Nuolatinių gyventojų skaičius metų pradžioje;8717.0;Medianinis gyventojų amžius metų pradžioje;44.0;37.0;Gyventojų tankis metų pradžioje;viename km²;14.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;28.8;Vidutinis būsto dydis;m²;76.5;Neto migracija;asmenys;-143.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;12.6;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Rietavo sav.
2012;Nuolatinių gyventojų skaičius metų pradžioje;8537.0;Medianinis gyventojų amžius metų pradžioje;44.0;38.0;Gyventojų tankis metų pradžioje;viename km²;14.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;29.3;Vidutinis būsto dydis;m²;76.4;Neto migracija;asmenys;-99.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;11.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Rietavo sav.
2013;Nuolatinių gyventojų skaičius metų pradžioje;8399.0;Medianinis gyventojų amžius metų pradžioje;45.0;38.0;Gyventojų tankis metų pradžioje;viename km²;14.3;Naudingasis plotas, tenkantis vienam gyventojui;m²;29.8;Vidutinis būsto dydis;m²;76.4;Neto migracija;asmenys;-114.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;10.1;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Rietavo sav.
2014;Nuolatinių gyventojų skaičius metų pradžioje;8255.0;Medianinis gyventojų amžius metų pradžioje;46.0;38.0;Gyventojų tankis metų pradžioje;viename km²;14.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;30.4;Vidutinis būsto dydis;m²;75.3;Neto migracija;asmenys;-94.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;8.1;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Rietavo sav.
2015;Nuolatinių gyventojų skaičius metų pradžioje;8096.0;Medianinis gyventojų amžius metų pradžioje;46.0;38.0;Gyventojų tankis metų pradžioje;viename km²;13.8;Naudingasis plotas, tenkantis vienam gyventojui;m²;31.2;Vidutinis būsto dydis;m²;75.5;Neto migracija;asmenys;-114.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;7.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Rietavo sav.
2016;Nuolatinių gyventojų skaičius metų pradžioje;7947.0;Medianinis gyventojų amžius metų pradžioje;47.0;38.0;Gyventojų tankis metų pradžioje;viename km²;13.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;32.4;Vidutinis būsto dydis;m²;75.8;Neto migracija;asmenys;-171.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;6.8;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Rietavo sav.
2017;Nuolatinių gyventojų skaičius metų pradžioje;7727.0;Medianinis gyventojų amžius metų pradžioje;48.0;39.0;Gyventojų tankis metų pradžioje;viename km²;13.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;34.1;Vidutinis būsto dydis;m²;77.2;Neto migracija;asmenys;-164.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;6.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Rietavo sav.
2018;Nuolatinių gyventojų skaičius metų pradžioje;7542.0;Medianinis gyventojų amžius metų pradžioje;48.0;39.0;Gyventojų tankis metų pradžioje;viename km²;12.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;34.7;Vidutinis būsto dydis;m²;77.3;Neto migracija;asmenys;-72.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;7.4;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Rietavo sav.
2001;Nuolatinių gyventojų skaičius metų pradžioje;57743.0;Medianinis gyventojų amžius metų pradžioje;37.0;32.0;Gyventojų tankis metų pradžioje;viename km²;40.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;24.3;Vidutinis būsto dydis;m²;65.5;Neto migracija;asmenys;-509.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;9.6;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Telšių r. sav.
